"V1" "V2"
"1" "no-hit" "41140"
"2" "Platyhelminthes" "26666"
"3" "Mollusca" "6983"
"4" "undef" "1264"
"5" "Echinodermata" "947"
"6" "Arthropoda" "7077"
"7" "Chordata" "4452"
"8" "Hemichordata" "199"
"9" "Annelida" "1443"
"10" "Cnidaria" "1547"
"11" "Brachiopoda" "1115"
"12" "Mucoromycota" "113"
"13" "Firmicutes" "58"
"14" "Rotifera" "823"
"15" "Bryozoa" "123"
"16" "Rhodophyta" "4"
"17" "Streptophyta" "284"
"18" "Zoopagomycota" "40"
"19" "Nematoda" "673"
"20" "Ciliophora" "42"
"21" "Proteobacteria" "134"
"22" "Porifera" "76"
"23" "Negarnaviricota" "34"
"24" "Eukaryota-undef" "36"
"25" "Microsporidia" "79"
"26" "Tardigrada" "47"
"27" "Perkinsozoa" "2"
"28" "Crenarchaeota" "2"
"29" "Ascomycota" "92"
"30" "Apicomplexa" "16"
"31" "Placozoa" "60"
"32" "Euglenozoa" "6"
"33" "Evosea" "39"
"34" "Pisuviricota" "3"
"35" "Viruses-undef" "31"
"36" "Orthonectida" "23"
"37" "Priapulida" "99"
"38" "Basidiomycota" "35"
"39" "Heterolobosea" "5"
"40" "Oomycota" "52"
"41" "Parabasalia" "20"
"42" "Bacteroidetes" "36"
"43" "Candidatus Thermoplasmatota" "11"
"44" "Chytridiomycota" "35"
"45" "Preaxostyla" "3"
"46" "Thermodesulfobacteria" "1"
"47" "Sipuncula" "2"
"48" "Artverviricota" "5"
"49" "Haptista" "3"
"50" "Nemertea" "8"
"51" "Bacteria-undef" "10"
"52" "Actinobacteria" "14"
"53" "Nucleocytoviricota" "11"
"54" "Endomyxa" "2"
"55" "Cyanobacteria" "26"
"56" "Fusobacteria" "1"
"57" "Chlorophyta" "7"
"58" "Discosea" "10"
"59" "Thaumarchaeota" "19"
"60" "Onychophora" "6"
"61" "Cercozoa" "1"
"62" "Planctomycetes" "15"
"63" "Blastocladiomycota" "2"
"64" "Euryarchaeota" "2"
"65" "Cryptomycota" "5"
"66" "Foraminifera" "7"
"67" "Thermotogae" "2"
"68" "Candidatus Omnitrophica" "1"
"69" "Candidatus Tectomicrobia" "3"
"70" "Acidobacteria" "1"
"71" "Nitrospirae" "3"
"72" "Chlamydiae" "1"
"73" "Chloroflexi" "1"
"74" "Balneolaeota" "1"
