"V1" "V2"
"1" "Platyhelminthes" "28069"
"2" "no-hit" "37931"
"3" "Arthropoda" "9004"
"4" "Cnidaria" "1257"
"5" "Ciliophora" "126"
"6" "undef" "1882"
"7" "Chordata" "6777"
"8" "Nematoda" "666"
"9" "Mollusca" "7022"
"10" "Echinodermata" "710"
"11" "Priapulida" "102"
"12" "Rotifera" "935"
"13" "Proteobacteria" "113"
"14" "Hemichordata" "188"
"15" "Brachiopoda" "1346"
"16" "Annelida" "1579"
"17" "Tardigrada" "41"
"18" "Duplornaviricota" "49"
"19" "Streptophyta" "239"
"20" "Microsporidia" "313"
"21" "Mucoromycota" "146"
"22" "Ascomycota" "98"
"23" "Porifera" "74"
"24" "Placozoa" "49"
"25" "Viruses-undef" "51"
"26" "Artverviricota" "10"
"27" "Euglenozoa" "17"
"28" "Bryozoa" "218"
"29" "Euryarchaeota" "4"
"30" "Oomycota" "69"
"31" "Chytridiomycota" "37"
"32" "Basidiomycota" "56"
"33" "Evosea" "27"
"34" "Chlorophyta" "12"
"35" "Negarnaviricota" "20"
"36" "Thaumarchaeota" "19"
"37" "Cressdnaviricota" "22"
"38" "Ignavibacteriae" "20"
"39" "Preaxostyla" "2"
"40" "Discosea" "4"
"41" "Firmicutes" "47"
"42" "Bacteria-undef" "14"
"43" "Eukaryota-undef" "38"
"44" "Perkinsozoa" "4"
"45" "Chlamydiae" "8"
"46" "Cryptomycota" "4"
"47" "Bacteroidetes" "22"
"48" "Orthonectida" "25"
"49" "Blastocladiomycota" "4"
"50" "Parabasalia" "11"
"51" "Tenericutes" "2"
"52" "Apicomplexa" "31"
"53" "Actinobacteria" "10"
"54" "Haptista" "4"
"55" "Xenacoelomorpha" "3"
"56" "Zoopagomycota" "42"
"57" "Candidatus Moranbacteria" "1"
"58" "Heterolobosea" "5"
"59" "Thermotogae" "1"
"60" "Onychophora" "7"
"61" "Acidobacteria" "1"
"62" "Pisuviricota" "5"
"63" "Elusimicrobia" "2"
"64" "Rhodophyta" "7"
"65" "Balneolaeota" "1"
"66" "Nitrospirae" "1"
"67" "Nemertea" "6"
"68" "Cyanobacteria" "1"
"69" "Candidatus Komeilibacteria" "1"
"70" "Spirochaetes" "2"
"71" "Nucleocytoviricota" "3"
"72" "Cercozoa" "1"
"73" "Crenarchaeota" "3"
"74" "Cossaviricota" "1"
"75" "Chloroflexi" "5"
