UniqueCount	AmbigCount
102	0
0	275
0	275
0	272
0	0
0	0
0	0
0	0
0	0
0	0
2	0
37	5097
165	4853
39	5443
395	2174
0	5443
0	5906
0	258
0	154
2	28
278	853
0	1
0	113
0	182
0	190
413	578
1	9
4	553
0	0
0	12
0	0
7	88
2	88
0	0
0	771
30	316
5	2
20	47
37	827
161	44
81	911
0	48
90	0
35	0
0	0
4	0
2	6
0	0
0	0
0	0
3	28
0	32
0	15
0	141
0	85
0	94
0	485
0	29
0	107
1	33
0	136
0	106
2	1
0	481
0	61
0	112
0	103
0	568
0	398
6	44
0	48
0	48
3	53
34	53
0	276
1	239
3	268
0	276
0	0
0	4
2097	9
0	601
38	601
1	8
0	8
545	0
0	188
0	179
0	148
2	134
0	31
0	174
0	36
0	76
5	320
17	320
0	1
0	192
0	0
0	1
0	31
0	195
0	4
155	163
2	1
0	43
0	4
0	195
0	34
0	6
0	0
2	6
0	40
38	16
0	2954
1	668
4	678
0	3909
0	3780
0	663
0	3696
0	4273
0	3711
2	398
0	3643
0	1850
16	3683
0	3628
0	2825
337	13
0	47
0	2
5	45
0	59
0	43
0	33
44	6
0	35
0	26
1	45
34	20
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
20	121
2	31
42	120
0	0
1	2
0	2
0	0
0	0
0	0
0	0
0	0
90	0
1	0
1	0
0	0
0	0
0	0
28	0
81	0
0	0
73	1
4	1
11	1
6	6
65	5
108	0
45	0
41	3
12	0
14	4
0	0
8	1
0	0
0	11
1	11
0	0
0	12
0	0
0	30
28	31
0	0
0	21
1357	0
0	0
0	0
1	0
0	0
0	0
1	65
230	65
155	0
0	74
0	18
0	14
0	74
0	48
1	17
0	74
0	15
0	74
0	74
0	70
0	15
0	0
0	17
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
26	0
0	95
20	19
0	377
17	14
0	256
0	384
0	26
0	90
35	195
1	25
0	26
3	219
8	224
31	2
0	31
0	288
0	37
0	33
1	402
34	151
0	0
0	20
0	19
1	20
0	20
2	0
0	0
0	0
0	0
0	0
0	1563
0	1540
0	9
0	0
0	1594
0	1504
0	1594
0	1562
0	0
0	0
0	0
6380	0
26	0
0	1
0	2
0	0
0	0
0	0
0	2
3	1
1	0
1	0
45	0
0	0
0	0
0	0
0	0
418	99
10	136
16	131
71	0
1	163
0	5889
446	5894
0	5894
106	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
225	9
125	211
0	209
59	3
8	1
0	1
32	5
10	32
0	36
31	0
87	0
2	1315
0	1
0	1315
2	4
1	0
0	4
3	2
0	2
0	0
0	0
0	0
2	0
3	573
0	293
25	572
1	573
5	7
8	520
0	296
13	474
0	299
0	308
0	1
0	1
0	98
25	123
0	102
10	123
0	127
1384	1
5	4
0	0
0	0
0	24
642	29
0	0
3	0
0	0
10	6
0	112
65	118
0	0
0	0
1	0
0	124
0	125
0	114
0	168
2	45
0	158
0	84
0	42
2	10
0	54
0	54
0	42
0	0
2	0
1	228
0	0
0	229
2	8
0	229
3	3268
44	192
50	3418
6	3243
0	514
13	514
0	0
12	154
5	159
8	158
13	0
0	0
8	1675
0	3
1	7
8	6
0	1353
0	1346
89	1675
0	1353
0	1
4	4
0	0
5	0
0	7
253	0
11	0
0	90
31	47
19	979
4	0
4	940
1296	5517
18	5318
31	3564
16	0
11	479
1130	479
0	0
1	0
0	0
0	0
20	10
19	10
52	4565
131	478
0	4565
2029	1
0	0
0	0
0	0
0	0
0	0
1	0
0	44
0	32
0	34
0	0
0	44
6	32
0	169
0	169
0	169
124	0
0	108
0	155
1	124
0	125
0	158
1	28
0	87
0	114
0	46
0	111
0	49
0	1424
0	1424
1	72
124	72
10	0
0	0
3	32
7	36
0	22
0	0
306	0
0	213
0	325
1	191
0	408
0	411
69	28
5	131
0	477
0	5
7	197
0	254
1	92
0	368
0	312
0	375
1	218
0	285
5	293
1	396
0	365
70	2
0	0
0	0
0	33
1	82
0	0
34	82
5	47
0	50
3	27
0	60
1	31
247	31
7	77
34	105
0	105
0	105
0	0
19	144
0	97
13	2
20	102
8	42
0	68
9	0
8	0
5	138
16	40
0	146
93	97
1	118
0	4
2	30
0	29
0	29
9	7
5	5
10	0
28	2
3	0
10199	4
1	0
21	12
1	7
0	7
14	3
0	0
1	0
1	0
0	0
0	2
0	1
0	2
0	2
0	1
74	34
18	35
3	0
0	0
0	136
2	9
0	167
21	193
0	240
0	80
113	188
18	51
97	0
0	625
2	625
374	0
447	0
110	0
0	0
0	0
15	2
32	2
0	31
2	39
0	40
21	40
0	13
0	1
39	34
0	34
0	0
1	0
0	0
53	0
3	52
40	108
1	9
0	55
1	108
0	630
0	243
0	1063
0	524
0	763
0	554
0	187
0	377
0	420
0	254
98	154
19	770
47	0
2	0
0	0
0	1
0	2
97	0
1	0
0	2
353	1
0	0
0	0
0	3
0	2
0	3
97	0
0	0
0	0
0	0
1	0
0	0
2	235
10	235
0	140
0	175
2	92
0	4
0	51
0	64
0	64
1	1
0	64
0	4
0	0
0	0
104	4
0	3
53	8
0	1
122	8
29	0
3	23
0	26
117	3
1	178
15	178
0	173
1	178
20	59
2	23
22	82
10	57
0	46
0	90
0	1
0	1
0	0
0	6
0	4
0	1
0	1
0	6
0	7
23	990
21	988
19	60
11	1107
5	0
0	1144
7	990
0	97
0	0
2	0
0	0
0	0
0	0
0	840
0	616
0	840
3	853
0	843
0	859
1	691
0	840
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
2	0
0	0
0	12
0	9
7	45
7	57
0	349
0	33
2	0
1	347
0	314
0	0
0	10
0	22
27	215
0	46
0	313
0	0
0	0
0	31
225	31
1	0
0	0
8	0
1	0
2885	2
0	383
16	56
0	291
0	315
0	407
0	575
60	325
0	653
17	620
28	391
40	633
0	565
2	0
238	19
164	27
0	16
1243	0
135	17
15	52
200	19
52	1
275	60
0	0
0	1
0	0
0	47
0	60
0	44
0	62
0	4
0	53
0	48
0	68
0	14
0	39
0	10
0	0
0	0
0	5
77	5
0	2390
0	529
0	2391
0	528
3	686
0	677
28	1563
0	14
0	0
0	0
0	0
1	0
32	1
4	27
65	27
9	4
461	0
259	3
0	2
0	40
0	38
0	49
1	46
1	15
0	15
0	13
0	9
0	20
60	9
0	18
26	9
5	24
0	18
6	31
2	22
0	0
10	1
56	470
5	238
1	588
0	604
15	536
15	705
8	686
0	446
0	526
0	691
0	684
25	15
12	10
0	36
1	34
0	0
0	68
0	75
0	65
0	78
0	63
0	572
0	516
57	599
8	498
0	321
14	554
70	480
704	2790
36	3042
271	1841
37	670
0	746
708	9825
83	1764
0	1516
42	1265
337	8399
0	395
6	8427
33	29
2	762
1150	353
147	1914
135	0
1	11
6	45
2	25
1	44
2	45
24	0
3	35
31	35
0	0
3	369
1	369
1	7
0	1
0	6
0	7
0	1
0	7
0	0
0	20
0	22
0	6
3	13
0	5
1	8
2	17
0	1
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
1	0
0	0
51	5
82	3
1	1
0	0
1	0
0	0
0	0
0	0
21	0
0	0
0	92
0	75
0	4
0	72
0	4
0	95
0	92
0	0
0	0
5	0
1	0
0	0
0	0
0	99
17	24
0	27
4	117
63	40
0	4
0	31
33	117
0	410
1	78
3	205
0	399
0	39
0	106
3	67
142	102
31	0
0	0
0	0
1	905
0	1
3	20
0	0
343	926
0	0
0	0
0	4
1	0
0	0
0	0
0	905
86	193
40	1729
0	1451
79	16
0	612
0	879
1	3
14	601
2	3
30	2
66	779
0	1493
0	793
0	1114
0	196
1	1493
19	757
640	0
0	177
1	177
0	0
0	1
0	1
0	0
1	1
3	0
0	0
1	1
0	0
0	30
16	30
0	0
0	0
0	0
0	0
0	0
0	7
0	21
8	21
0	2
0	13
0	9
0	2
0	2
0	9
0	17
2	9
0	15
9	6
1	2
0	17
1	2
1	16
0	2
0	17
0	0
0	0
22	137
1	137
0	0
0	0
0	0
0	0
10	148
0	151
118	17
15	146
0	0
1	21
1	21
273	0
0	0
0	0
0	15
122	20
85	3
0	12
0	14
0	0
0	0
325	105
0	57
0	159
0	61
0	163
106	245
0	245
20	2208
20	2208
16	1
304	1585
0	1585
12	0
509860	12130
0	668
0	953
0	886
0	945
0	263
0	104
0	338
0	942
0	950
4	439
3	533
0	260
4	107
0	562
0	1970
0	2698
0	1608
0	2112
0	1634
18	1544
0	2336
253	2
0	1208
376	1208
0	1091
0	1018
0	1028
0	1023
0	1013
124	0
33	0
0	0
5	0
183	148
3	148
276	14
0	13
0	0
429	0
0	0
0	405
0	88
0	1543
18	2483
247	2359
0	2355
24	373
0	1525
0	2413
0	3191
0	856
5	0
0	3113
0	3780
0	3702
1	2016
0	2227
0	1903
0	0
0	677
