UniqueCount	AmbigCount
191	0
0	142
3	142
0	142
0	0
3	0
0	0
0	0
0	0
0	0
0	0
7	2242
45	2022
1	2385
133	717
0	2386
0	2735
0	116
0	1087
8	960
1033	3614
0	17
0	550
0	186
0	193
5	2056
1	34
9	1768
348	1488
0	36
0	0
10	91
1	91
18	0
0	459
15	231
13	2
50	59
15	427
320	56
34	539
0	61
21	1
0	0
3	7
0	3
0	4
0	0
0	0
0	0
13	60
0	40
0	24
0	207
0	180
0	177
0	699
0	33
0	238
0	171
0	209
0	418
1	3
0	694
0	149
0	236
0	411
0	727
0	666
2	286
0	122
0	122
0	48
47	48
0	336
0	303
1	317
0	336
0	0
4	3
1467	3
69	864
35	864
0	5
0	5
1273	0
0	152
0	146
0	126
0	112
0	23
0	144
3	33
0	0
0	2
0	2
0	4
0	198
0	6
0	6
0	29
0	204
0	11
240	193
0	6
0	44
0	8
0	204
0	31
0	11
0	0
8	8
0	41
22	32
0	2863
0	475
4	509
0	3640
0	3971
0	492
0	3277
0	4261
0	3294
2	358
0	3244
0	1847
11	3276
0	3227
0	3194
275	6
0	223
0	0
17	235
0	229
0	244
4	212
17	1
0	223
0	220
0	205
13	4
6	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
48	95
1	27
44	95
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
508	1
0	0
1	0
0	0
0	0
0	0
37	0
55	0
0	0
90	1
3	5
1	0
1	0
5	0
46	0
61	0
12	0
0	0
0	0
0	0
39	4
0	0
0	0
0	17
7	109
0	0
3	0
1	0
2	0
0	109
13	0
948	0
0	0
0	0
2	0
0	0
0	0
2	68
154	68
495	0
0	34
0	14
0	4
0	34
0	23
0	14
0	34
0	4
0	34
0	34
0	34
0	4
0	0
0	10
0	0
0	4
0	0
0	0
3	0
0	0
0	0
0	0
14	0
0	531
4	251
7	611
7	8
2	121
3	298
24	443
0	575
14	149
4	249
0	556
0	117
7	117
22	29
6	504
0	123
5	408
13	347
0	407
7	113
0	0
0	28
0	28
0	28
7	27
0	0
0	0
0	0
0	0
0	0
0	1270
0	1352
5	74
0	13
0	1281
14	1250
0	1281
0	1313
0	0
0	0
0	0
3962	0
4	0
1	4
0	3
0	0
0	3
0	0
0	3
1	3
0	3
0	0
27	0
0	0
0	0
0	0
0	0
370	45
16	122
8	121
54	0
0	137
0	5750
358	5547
0	5756
91	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
341	23
50	144
0	144
0	0
13	0
0	1
18	6
16	39
0	44
22	1
37	0
0	3713
0	4
0	3713
0	1
1	0
0	1
1	1
0	1
2	0
1	0
0	0
0	0
1	350
0	82
15	350
2	349
1	0
1	187
0	84
31	292
0	84
0	85
0	0
0	0
0	101
11	113
0	107
7	112
0	120
1027	0
2	1
0	0
0	0
1	9
579	12
1	0
0	0
0	1
6	3
0	139
79	142
0	0
0	0
0	0
0	100
0	81
0	90
0	111
0	13
0	101
0	72
0	45
3	7
0	66
0	66
0	45
1	0
1	0
1	348
0	0
0	351
6	14
0	351
0	1819
2	16
0	1833
2	1815
0	61
6	61
0	0
2	27
0	27
0	27
7	1
1	1
2	3014
0	0
0	0
51	4
13	2421
0	2394
153	3014
1	2421
0	0
7	4
0	0
0	0
0	0
248	0
1	0
0	298
129	177
92	1842
0	0
0	1725
1194	14691
2565	14727
89	10816
26	0
25	326
1250	326
0	0
0	0
0	0
1	0
22	25
23	25
13	634
4	116
0	634
3506	0
0	0
2	0
0	0
0	0
2	0
0	0
0	40
0	39
0	38
0	0
0	40
7	19
0	203
0	203
0	203
161	0
0	198
0	192
3	180
6	161
0	193
2	154
0	190
0	182
10	188
0	199
0	182
0	1691
0	1691
0	113
246	113
12	0
0	0
0	76
6	58
0	37
0	0
383	0
0	146
0	188
0	195
0	223
0	230
123	31
0	70
0	248
18	22
0	157
0	222
4	119
0	206
0	163
0	225
0	139
1	161
5	159
0	230
0	199
17	0
1	1
0	1
1	46
0	134
1	1
56	134
0	155
0	168
0	65
0	200
1	49
511	49
1	61
0	90
15	93
20	92
