UniqueCount	AmbigCount
119	8
0	470
28	464
6	464
0	1
2	1
12	1
0	0
2	0
0	0
0	0
29	6630
199	6273
28	6810
704	2099
0	6810
20	7740
0	251
0	73
2	61
246	594
0	8
2	115
0	121
0	143
425	249
0	14
4	496
0	0
0	23
0	0
87	450
6	450
0	0
3	1185
15	450
14	0
24	148
23	1453
121	74
128	1578
0	148
118	10
80	9
0	0
9	9
5	6
0	0
0	0
0	0
18	36
0	142
0	56
0	337
0	130
0	157
0	1211
0	81
0	173
5	30
0	350
0	230
2	13
0	1134
0	57
0	160
0	169
13	1504
0	838
0	46
0	83
2	83
6	64
49	62
0	358
1	316
18	341
0	380
3	0
0	4
3845	149
0	478
28	479
4	11
0	11
579	23
0	510
2	430
6	415
4	369
2	81
0	466
11	133
1	747
47	3584
711	3611
1	8
1	343
0	3
1	8
2	42
0	354
1	17
154	249
0	4
2	80
0	17
3	332
0	48
0	24
3	1
4	16
0	74
60	7
0	1722
0	1135
12	1253
11	2398
0	2309
0	1156
0	3428
2	2933
0	3522
32	578
0	3319
0	1288
39	3383
0	3227
0	1633
791	110
2	185
3	16
10	120
0	195
0	121
0	111
133	48
0	54
0	43
2	131
152	110
0	7
0	1
0	1
0	0
2	2
0	1
2	2
0	0
0	1
21	142
3	16
101	142
1	0
1	4
0	4
0	0
0	0
0	0
1	0
3	18
307	28
3	0
2	0
0	0
0	0
0	0
16	0
46	1
0	0
75	4
0	3
30	9
17	5
109	9
166	9
63	4
48	5
3	0
9	0
0	0
14	4
0	0
0	3
0	3
0	0
0	3
0	0
0	52
14	57
0	0
0	22
3277	110
2464	332
0	300
5255	210
0	0
0	0
5	95
500	114
172	11
0	402
0	58
0	67
0	399
0	233
0	58
0	399
1	118
0	402
2	383
0	353
0	68
1	13
0	57
1	0
4	56
0	0
0	0
1	0
0	0
0	0
1	1
286	9
0	59
10	21
0	399
2	20
5	318
0	408
1	20
0	62
23	136
0	27
0	20
3	285
7	281
38	3
0	17
0	338
0	29
1	29
1	414
15	102
1	0
1	52
0	47
0	52
2	51
1	0
1	0
0	0
0	0
1	0
0	1837
0	1806
0	6
0	0
0	1905
0	1735
17	1905
0	1836
0	0
0	0
0	0
17449	701
33	0
0	0
0	19
0	0
0	0
0	0
0	19
0	19
0	0
0	3
88	6
0	0
0	0
0	0
1	0
897	96
27	297
26	284
262	9
10	151
0	5737
606	5888
0	5874
258	14
0	0
0	1
3	1
0	1
2	1
0	0
0	1
251	29
172	225
0	204
30	3
8	0
0	2
28	13
14	51
0	63
39	1
108	8
5	1031
0	0
0	1031
5	2
0	0
0	2
3	5
0	5
1	0
1	0
0	0
0	0
9	1124
0	265
57	1124
8	1125
6	1
35	809
0	268
30	914
0	278
0	282
0	0
2	0
0	117
30	174
0	123
24	171
0	182
1792	59
10	14
0	0
0	0
3	228
489	256
0	0
5	1
2	0
16	19
0	59
62	68
0	0
0	0
0	0
0	336
0	286
0	322
0	380
21	65
0	366
0	259
0	96
9	24
0	140
0	135
0	101
0	0
19	2
2	934
4	6
0	957
11	158
0	955
5	4591
40	334
62	4816
11	4545
0	744
17	744
0	0
17	181
3	181
6	179
10	0
0	0
17	1651
1	2
0	4
5	2
0	1255
2	1246
80	1652
2	1255
0	0
0	1
0	1
6	0
0	3
357	11
15	2
0	82
17	71
20	781
2	5
1	769
980	3681
30	3548
22	2432
42	1
35	1414
1481	1470
0	0
0	0
0	0
0	0
3	3
6	3
67	3615
39	232
0	3611
2631	107
0	0
3	0
1	0
0	0
0	0
0	0
0	47
0	36
0	39
0	0
0	44
5	33
0	264
10	269
0	269
127	6
0	157
0	245
10	190
0	197
0	245
5	43
0	138
0	205
0	94
0	157
0	111
13	1142
31	1143
0	51
107	52
5	0
0	0
0	42
25	64
5	48
0	0
654	24
1	311
0	424
6	253
0	480
0	496
30	51
4	202
0	573
1	2
5	250
1	336
0	72
0	509
2	437
0	409
0	292
0	344
11	346
3	513
0	493
73	10
0	5
6	8
0	77
2	230
10	4
125	236
0	150
1	163
0	101
0	210
9	28
342	51
1	36
13	50
0	49
0	49
0	0
28	139
1	73
5	3
14	81
0	15
4	33
5	0
10	1
3	98
5	23
0	142
80	79
0	87
0	0
2	14
0	14
0	14
7	5
5	0
7	3
15	3
5	0
13023	530
0	0
16	10
3	30
0	30
8	1
0	0
0	3
0	6
1	9
0	10
1	8
1	7
6	8
0	5
64	44
13	38
1	0
0	0
0	390
10	59
5	420
47	556
2	547
1	243
80	423
23	143
88	4
28	728
6	728
814	29
1607	58
176	16
0	0
0	0
72	33
106	37
1	180
8	214
3	208
71	218
7	106
0	2
106	49
0	44
0	0
4	0
0	0
172	3
3	113
73	259
1	20
2	121
2	256
0	496
0	168
0	1133
0	393
0	586
0	442
0	138
0	262
0	348
0	191
149	101
9	868
110	4
0	0
0	0
0	4
5	12
218	11
4	4
0	10
427	25
0	4
0	0
0	17
0	8
0	15
136	1
0	0
1	3
32	1
6	0
1	0
5	896
38	896
3	363
0	616
11	161
3	18
0	285
1	350
0	355
10	8
4	348
0	20
1	0
0	0
246	23
2	11
54	2
0	0
99	2
371	13
112	181
0	198
665	37
14	530
77	473
4	482
10	470
30	71
1	48
54	114
43	57
0	69
0	115
6	2
4	7
0	6
0	17
2	18
0	1
4	1
0	17
5	22
14	834
21	835
9	23
16	936
5	0
2	965
6	835
0	52
0	0
3	1
0	1
3	0
0	0
2	1663
4	988
2	1664
7	1687
2	1692
0	1787
4	1350
2	1679
0	0
0	0
2	0
0	0
0	1
0	0
1	1
1	0
1	0
1	0
1	7
1	7
0	0
0	0
0	0
0	1
0	0
2	35
0	49
29	96
23	131
0	643
0	55
1	22
0	636
9	564
3	1
0	46
0	83
36	435
0	167
19	565
0	0
0	0
5	77
552	98
0	0
0	0
9	1
4	0
5672	220
0	358
7	50
0	303
0	367
0	422
0	419
33	202
0	470
14	425
12	312
24	439
0	398
0	0
177	11
136	36
0	8
1667	76
140	14
17	21
96	30
34	5
146	43
1	1
0	6
0	1
0	99
3	131
2	113
0	134
0	3
0	137
0	116
3	172
0	37
7	97
0	17
1	0
0	0
0	1
301	11
0	2822
0	526
0	2809
0	539
7	637
0	629
47	1975
0	40
0	0
0	0
0	0
0	0
25	1
7	47
88	60
2	6
989	33
465	113
0	2
0	97
0	83
7	113
9	85
5	60
0	51
0	8
0	8
0	19
225	9
0	37
96	21
17	68
0	67
18	90
1	32
0	0
28	10
46	462
6	208
4	532
0	553
14	450
12	841
19	753
2	510
0	619
0	799
0	741
15	66
20	57
0	112
1	90
2	0
0	73
0	78
0	68
0	83
0	67
0	532
0	471
94	549
8	448
0	248
28	484
60	424
351	2350
305	4448
414	1047
40	533
5	823
1669	10556
76	3706
0	1541
64	1589
341	7217
0	364
47	8606
42	57
7	898
1671	354
76	949
172	8
2	16
6	51
7	30
2	45
2	50
15	1
1	20
38	27
0	0
6	475
7	477
2	8
0	8
0	6
0	17
0	7
0	21
0	1
0	34
0	39
0	18
1	18
0	11
0	9
4	28
0	4
3	7
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
1	0
2	1
49	16
44	15
1	0
0	0
0	0
0	1
1	1
1	1
4	0
0	0
0	154
0	170
0	32
0	137
1	32
4	195
0	163
0	0
0	0
16	4
1	0
0	0
0	0
0	125
7	40
5	36
7	187
179	77
0	1
0	50
62	178
0	781
4	102
6	208
0	764
0	57
0	170
8	73
236	147
56	14
0	0
0	0
1	402
0	0
1	5
0	0
53	414
0	0
0	0
0	0
3	0
0	0
0	0
0	400
66	86
