UniqueCount	AmbigCount
19230	52733
538	36886
1687	54166
59	52574
0	32451
0	18859
831	39611
0	152
26	378
0	161
3	217
175	3
1	0
7	0
1	0
0	0
0	0
0	0
21	1276
4	1333
1	135
0	814
349	610
26	490
0	443
27	479
6	825
13	867
31	464
0	464
1	442
0	2
3	19
5	44
76	99
0	32
1	4
0	28
1	12
0	40
0	62
0	44
1	23
23	6
1086	17
1	81
118	390
2	385
27	1
0	34
1	7
9	95
0	136
0	15
0	132
0	378
0	416
0	417
24	408
5	15
0	379
0	0
0	0
0	0
118	1111
0	830
3	1024
2	1153
8	1175
7	1200
2	1185
0	818
58	306
0	728
0	740
0	0
7	0
1	0
0	0
495	10
16	1062
67	121
28	1736
1091	1368
87	60
241	166
11	585
5766	1895
1	349
4	179
14	292
9	184
12	184
0	200
3	134
77	198
0	0
0	147
7	163
0	147
1	0
1	102
4	167
4	3
5	705
1	58
92	705
7	3
13	0
5	0
0	0
1	1
0	0
0	0
1	4
6	42915
1	9
0	41479
0	36986
0	42906
0	38361
14	1223
95	719
6	1083
0	1160
80	1941
2	18
0	0
3	0
0	0
1	32
0	1
0	47
0	4
0	13
0	0
0	6
0	7
0	0
0	6
0	22
0	0
3	7
0	22
3	0
0	14
0	2
0	6
20	0
4	0
1	74
9	0
0	38
1	1
3	12
14	325
2	203
2	198
4	517
1	210
0	611
68	221
0	226
6	1
0	54
0	0
0	0
27	2
2	26
0	5
6	5
5	9
11	6
1	4
0	4
17	54
1	0
1	3
2	64
1	4
21	57
2	57
102	1
71	2
200	1
1	0
2	0
0	0
1	0
6	1
1	0
0	0
0	0
8	1
67	6
0	0
0	0
0	1
0	1
0	0
5	1
1	5
12	4
0	0
3	2
3	0
3	0
0	0
0	0
0	1
0	0
0	0
0	1
1	1
1	1
0	1
2	4
1	2
1	4
0	0
1	100
43	98
4	87
1	110
221	1186
227	1183
2	959
612	7
1034	18
0	0
0	16
0	38
0	3
0	28
0	9
0	4
3	6
1	12
0	26
0	1
2	0
2	2
32	84
25	246
22	246
0	0
941	14
0	0
0	568
0	579
0	486
0	614
1	463
0	535
2	561
0	570
0	537
0	612
0	502
4	34
0	282
3	152
0	291
0	281
0	169
0	178
0	0
0	277
2	272
2	278
4	23
2	147
4	333
0	146
7	123
0	153
0	12
48	335
1341	709
10	696
0	0
2	137
22	223
2	39
1	48
142	236
4	24
2	29
3	32
12	2745
5	31
4	24
1	19
0	41
0	33
0	16
0	2747
4	27
0	37
8	33
0	37
13	16
6	2385
1	35
0	13
0	13
1	0
16	1737
50	1738
0	0
0	46
33	45
4	27
0	0
0	0
2	0
0	0
0	0
3440	44
8	439
82	487
2	486
2	746
7	1084
0	32
0	1199
3	132
16	1084
2	1246
60	1314
19	844
0	844
0	690
38	690
1	0
13	409
0	478
1	459
0	0
2080	32
2488	190
0	8
13	10
1	2
1	1
2487	188
2529	42
0	31
24	31
58	9099
2631	9123
28	1
5	1194
700	1208
186	1598
425	1207
0	1278
3	72
0	72
0	1
3	0
99	2
0	0
7	0
4577	282995
0	27
68	267203
1	26
8304	283029
543	7
0	0
12	1582
948	1401
59	1338
1724	1565
9	1
0	0
0	0
0	0
0	0
3	0
0	0
125	13
0	466
0	374
4	143
0	324
0	453
36	7
0	195
0	168
28	1
0	211
0	340
0	415
0	375
0	374
0	257
0	544
1	214
4	233
17	149
1	128
14	8
8	22
4	23
23	4
203	3
1	58
0	272
106	330
48	14
0	0
5	188
0	163
0	190
1	0
0	0
11	312
1	313
177	304
53	121
0	80
4	79
0	106
1	20
3	20
0	178
0	199
0	173
0	151
0	153
0	180
0	175
0	201
0	152
0	154
0	26
0	45
5	263
1	186
2	3
0	29
0	224
0	29
96	1698
0	68
0	129
0	214
13	1402
0	1238
0	299
0	297
3	853
0	1775
0	70
0	936
0	214
1	969
0	2004
0	1905
1	188
2	0
0	5
0	6
3	5
5	32
17	126
0	229
2	27
0	171
0	9
7	147
0	157
1	118
13	147
2	113
0	218
2	13
0	29
0	81
9	69
1	7
23	230
0	192
0	118
0	15
1	50
19	37
0	2
0	2
1727	31
0	5
0	5
0	6
0	0
7	146
6	1120
0	9
317	1258
0	0
14	0
1	0
0	3
0	5
0	5
2	24
11	4
12	9
2	1
26	27
0	260
0	243
0	232
11	385
0	712
0	695
7	0
1	0
1	0
0	0
0	0
0	3236
125	1073
8	894
83	3158
3	0
2	0
1	95
4	96
0	44
1	53
3	0
5	124
0	3
1	104
0	105
1	105
0	2
1	2
1	0
1	42
0	363
0	451
0	455
0	359
0	12
0	143
0	79
0	438
1	47
1	33
0	77
23	128
1	15
7	302
2	380
1	13
0	14
5	0
2	1
1	8
7	8
7	40
0	23
0	40
0	38
0	0
1	0
1	1
0	0
0	0
2	295
21	420
4	451
13	497
13	4
2	27
4	27
1	1092
19	111
8	891
25	664
7	0
0	0
2	0
3	0
0	0
0	23
0	33
2	19
0	42
0	56
0	7
5	23
0	46
0	50
0	48
0	54
0	52
2	12
19	12
1	0
0	1136
0	132
0	100
19	953
0	1129
0	314
0	307
3	854
20	779
11	0
11	0
1	7
5	7
4	384
0	959
1	634
5	1761
137	2134
1	1
27	0
1	0
8	0
1	2
0	2
31	706
0	784
22	750
0	799
0	789
0	794
0	0
1	4
0	4
0	0
1	14
130	112
0	111
1	94
11	54
2	322
12	333
1	83
0	0
194	8
9	0
0	0
0	0
0	753
1	6
1	572
8	615
4	523
0	739
0	624
0	610
0	6
2	489
98	649
6	2
15	17
10	17
4	0
2	0
0	2
0	2
1	2
1	0
0	0
1	0
2	0
5	0
0	0
7	1932
2	1884
0	2070
10	1846
0	26
11	68
0	1934
10	68
3	0
3	132
6	132
1	0
5	326
5	2535
20	1208
5	2626
7	1631
45	3824
0	2963
0	2903
0	3165
0	2900
10	744
0	3228
4	417
22	10
1	1384
9	884
0	1098
0	1128
0	1056
0	994
219	1258
30	1257
4	595
6	205
1	1128
4	777
4	11
0	780
4	130
0	1171
5	1101
0	778
1	42
2	343
1	1111
8	271
2	0
3	22
0	296
0	294
49	18
0	241
0	271
0	311
5	99
0	274
15	5
0	262
0	137
0	284
0	298
0	287
0	300
6	290
0	98
0	313
0	309
2	26
0	69
0	307
6	29
0	262
0	43
27	101
1	67
47	321
0	5
7	65
0	301
0	0
0	0
3	0
1	0
21	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
4	417
10	432
64	670
3	1044
153	1020
0	437
6	12
1	50
20	86
0	133
2	64
0	124
0	132
0	73
7	134
2	103
0	51
2	17
0	17
1	0
0	1
3	1
2	1
1	0
3	2
0	0
0	0
0	0
0	0
0	0
1	3138
793	3147
0	1292
6	63
4	52
0	149
0	162
0	238
0	63
0	217
5	162
649	51535
5	37603
0	42128
3	42654
0	408
0	190
0	179
5	225
1	5
3	148
2	198
1	204
0	215
6	112
0	0
7	0
60	273
0	38
1	48
36	298
0	197
0	0
4	0
1	0
0	12068
0	7571
841	1581
0	12068
0	7571
762	8372
4	477
70	477
0	0
13	55
4	178
53	178
0	0
745	9
0	0
7	202
355	211
0	29
0	8
139	427
3	0
25	424
0	423
4	430
0	0
1	0
0	0
6	0
0	0
6	0
4	0
81	21
5	0
0	0
0	0
0	205
0	201
0	205
457	199
1	0
5	0
29	0
1	0
0	0
0	0
0	0
0	0
1	182
3	185
3	176
0	199
3	128
3	189
0	176
1	63
0	74
1	176
1	0
11	12
1	211
74	204
2	195
0	0
0	0
41	145
0	662
0	655
0	562
1	11
150	113
30	319
0	569
0	886
0	879
0	2111
9	2806
6	2577
12	2702
0	3027
10	192
0	0
0	0
6	138
12	225
0	52
3	128
19	2
3	0
546	12
1	0
0	0
3	2
0	0
0	0
1	0
0	0
892	284
0	312
7	126
2	0
2	5
2	5
12	0
0	5
0	4
0	0
0	0
0	0
16	212
0	232
98	161
0	0
2	36
2	181
2	62
5	232
9	0
0	5
4	5
52	743
4	46
2	91
21	301
13	622
1291	686
36	364
1	71
11	22
113	589
19	380
1968	406
0	0
0	0
0	661
0	975
0	964
8	19
0	25
0	11
0	1095
0	19
32	0
0	178
0	19
14	1
1	0
0	0
1	490
0	1079
2	9
0	1106
0	664
6	9
0	485
0	149
0	948
7	1
2	0
3	0
178	532
3	527
4	527
232	482
42	202
0	482
333	962
167	723
297	866
325	445
203	708
53	874
1	85
2	89
0	97
12	101
0	0
10	3
51	3
5	162
1	19
0	160
4	156
4	93
6	124
3	159
700	69
0	163
1	148
0	192
2	2
0	52
5	108
0	145
0	0
185	3
1028	10
2975	50
1	621
0	1517
0	1308
0	201
0	621
1	202
0	618
0	756
0	1379
0	547
3	0
0	0
0	0
6	3
0	3
2	0
0	404
1	820
130	820
0	243
2	186
0	1
1	1
7	0
3	0
3	0
0	0
16	0
0	0
11921	204
7	0
0	0
167	1536
1	81
0	1990
10	179
82	1909
0	149
0	590
150	1906
0	404
0	590
27	183
0	3
0	590
9	183
18	9
3	1
1	6
2	1
3	0
7	6
0	84
0	83
1	84
28	167
38	0
663	8
0	0
0	0
1	1
0	0
464	1504
19	571
32	679
8	268
25	693
5	1
51	125
0	0
0	0
0	0
0	217
0	194
0	151
0	203
0	209
40	151
0	158
0	186
3	0
3	0
0	3189
2	1782
0	34
0	2550
6	1128
1	15
17	63
2	34
18	2585
16	1068
7	824
24	2910
17	620
6	276
0	636
0	276
32	576
3	338
5	0
35	45
0	0
0	0
3110	66
0	0
0	0
7	537
4	536
22	518
1	537
29	2179
2059	2170
2	2179
119	2
29	1560
22	1069
702	1564
25	9
0	9
1	2
1	2
2	2
0	0
0	0
0	0
86	1066
1	1065
514	593
440	549
65	2
0	32
0	32
0	0
6	0
4	1
0	1
1	0
0	0
2	0
0	0
0	0
0	0
0	0
3	0
1	12
2	128
0	1299
11	12
0	1111
0	1287
0	1232
22	0
0	0
10	13
0	1154
0	1250
5	13
0	1262
0	1195
1	0
0	1044
4	19
0	1191
39	64
0	301
0	285
0	234
4	220
0	218
0	220
0	15
0	0
2	99
3	146
6	101
1	337
1	341
32	206
0	138
8	19
1	19
0	21
3	21
3	0
26	9
0	9
11	0
3	0
0	0
1	0
0	12
0	8
0	7
2	26
0	3
1	5
0	11
0	5
0	11
0	1042
8	10
6	1009
0	969
0	994
0	1039
10	1039
0	1067
2	0
1	0
2	8
1	1
0	8
0	3
3	1
0	4
2	8
0	4
3	663
173	665
6	202
0	0
4	2
0	69
6	4
0	71
0	9
0	11
0	4
8	76
0	0
1	0
2	0
6	0
3	0
3	0
1	0
2	0
1	0
2	0
50	0
0	446
0	988
0	5
0	1300
3	251
0	161
0	153
0	151
0	438
3	626
0	0
8	0
0	0
0	1279
0	169
0	236
4	335
0	1369
0	1272
0	165
0	149
1	55
0	153
0	230
0	217
11	320
0	232
0	221
0	1239
9	1103
0	215
0	1365
30	7
0	1332
0	6
24	75
0	1402
6	320
0	1246
0	163
12	335
3	77
6	95
0	115
3	2
0	0
0	2
64	90
3	2
0	0
0	0
0	9
3	5
3	9
0	5
0	0
0	0
0	0
141	87
0	535
359	453
1	0
1	0
2	0
1118	20
1	0
210	625
4	227
3	396
0	37
0	52
2	19
0	1
0	62
0	0
0	0
2	4
1	4
1	0
0	3
16	4
0	0
0	0
1	259
1	355
2	326
1	350
0	346
1	343
0	293
0	339
0	347
0	318
0	221
3	101
4839	193
2	1
0	0
0	0
1	0
0	5
7	69
121	49
0	116
0	119
10	4
0	138
0	4
