UniqueCount	AmbigCount
68	117
4	928
103	1462
3	117
0	776
0	450
75	1085
2	419
88	936
0	469
13	467
243	3
7	0
9	1
1	1
0	0
0	0
0	0
53	1381
4	1416
0	161
0	983
453	640
33	518
2	386
26	494
2	904
42	1020
54	490
0	423
10	370
7	3
1	27
5	40
87	92
1	64
0	5
0	51
3	17
0	64
0	56
3	75
0	27
31	28
1997	37
0	82
93	396
5	394
18	1
0	31
1	6
2	62
0	98
0	16
0	94
0	294
0	320
0	320
37	306
8	7
0	294
0	0
2	0
2	0
146	1148
0	926
17	1030
3	1304
15	1325
14	1334
0	1313
0	897
102	325
0	778
1	807
0	1
9	1
0	0
0	0
321	0
37	1689
94	188
47	2518
1926	2028
138	115
337	250
11	986
9844	2706
9	749
13	326
52	629
2	53
3	53
0	210
10	117
128	196
0	0
2	251
14	309
5	251
2	0
0	204
25	314
0	5
10	889
5	79
141	895
5	7
18	0
18	0
1	0
2	4
2	1
0	0
1	5
7	108109
3	13
0	103508
0	89399
0	108095
0	93724
17	1362
176	874
5	1180
0	1287
87	2230
2	15
0	0
7	0
0	1
1	70
1	3
0	82
0	4
0	13
0	0
0	10
0	12
0	0
0	13
0	41
0	0
8	9
0	36
3	0
0	12
0	3
0	14
29	7
9	5
0	132
15	2
0	51
5	0
0	9
16	456
3	258
0	258
11	694
1	308
1	875
147	300
2	310
8	0
0	105
0	0
2	0
49	3
2	74
1	9
8	6
6	42
10	12
5	31
2	2
12	67
1	2
1	7
4	104
4	10
36	52
3	52
94	1
90	7
159	0
8	0
1	0
4	0
0	0
7	2
2	1
0	0
2	0
5	1
113	11
2	0
1	0
0	1
1	1
2	2
17	4
4	7
23	14
0	0
2	3
5	2
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	1
2	4
3	2
0	5
0	0
2	105
46	101
1	91
2	115
231	1433
267	1418
3	1183
917	19
1109	12
0	0
0	21
0	59
0	2
0	43
0	6
0	2
0	6
0	19
0	37
0	0
1	1
2	1
36	76
51	257
24	257
1	0
908	6
0	0
0	867
0	824
0	699
0	877
0	632
0	817
1	817
0	847
0	797
0	897
1	692
14	30
0	431
1	234
0	429
2	396
1	302
0	300
1	0
3	401
1	396
1	399
0	42
1	263
7	652
0	257
26	237
0	269
3	14
115	659
1353	884
22	879
2	0
5	148
36	267
3	51
7	57
337	284
5	54
6	44
1	36
20	3879
0	34
3	29
1	26
3	49
1	39
1	24
0	3879
7	54
1	50
11	51
1	43
8	25
16	3217
5	43
3	30
2	30
11	0
12	2288
98	2289
1	0
2	65
84	64
9	25
2	0
2	0
0	0
0	0
1	0
3725	23
4	399
94	433
2	431
3	1326
40	1837
0	51
0	2034
3	201
29	1837
4	2188
115	2280
52	1823
6	1822
6	1771
92	1776
5	0
46	1291
0	1545
1	1467
0	2
5191	59
1686	208
0	22
22	25
2	3
0	1
2209	207
2720	10
0	43
37	43
89	8087
3165	8110
91	0
4	829
559	759
282	1129
243	755
0	911
11	87
0	83
0	0
1	3
202	1
0	0
12	0
3410	215588
0	37
38	203538
0	37
5697	215603
429	2
0	0
8	1092
729	1009
31	987
1338	1108
17	3
0	0
0	0
0	0
0	0
0	0
0	0
151	9
3	581
2	456
5	208
0	449
0	738
57	12
0	397
0	215
35	4
0	318
0	611
0	565
0	464
0	456
7	496
0	854
4	257
9	325
33	164
0	160
20	10
3	15
12	17
26	7
264	4
2	97
5	485
219	583
18	11
0	2
10	802
0	694
0	805
3	0
15	0
0	0
0	0
0	0
54	154
2	103
4	103
1	149
3	20
4	20
0	219
0	239
0	206
0	181
0	183
0	221
0	208
0	241
0	187
0	189
0	31
0	47
3	758
4	530
4	11
0	101
2	721
0	102
10	78
0	286
1	416
0	617
0	62
0	71
1	988
1	967
0	52
3	378
0	306
0	52
0	618
0	54
0	1061
2	747
10	569
15	0
0	1
2	1
1	5
13	39
36	227
1	354
7	41
0	300
1	7
10	259
0	261
1	158
24	262
3	112
0	250
2	2
0	41
3	94
10	87
1	6
32	237
0	314
0	158
0	2
0	55
20	32
0	2
0	2
2058	22
1	12
0	7
0	13
3	0
15	87
16	983
0	16
286	1059
2	2
37	9
3	1
0	28
0	20
0	8
1	43
10	1
38	32
6	0
62	59
0	196
0	186
0	169
11	242
0	493
0	483
7	6
1	3
1	1
3	1
0	0
20	2969
149	1111
13	642
130	2703
3	6
8	5
10	138
3	121
4	79
12	62
4	0
13	172
0	8
1	143
0	148
0	143
0	5
0	5
4	0
12	58
0	358
0	496
0	474
