UniqueCount	AmbigCount
13467	39959
404	27063
1179	39488
56	39697
0	24120
0	14707
581	29459
0	146
24	325
0	160
0	164
144	12
1	0
5	0
0	0
0	0
0	0
0	0
17	1117
0	1149
0	158
0	752
330	537
22	394
0	388
32	378
4	779
7	784
22	371
0	427
4	378
0	2
1	10
3	43
70	83
0	33
1	4
0	25
1	14
0	42
0	38
2	50
0	20
13	4
1325	77
2	62
92	324
1	319
23	0
0	55
1	13
3	91
0	150
0	24
2	141
0	309
0	351
0	354
44	342
4	12
0	312
0	0
0	0
1	0
120	1099
0	795
10	993
0	1082
12	1095
6	1108
1	1097
0	783
71	331
0	683
0	695
1	4
9	4
1	0
1	0
382	20
13	869
85	106
16	1627
721	1194
98	33
237	140
9	538
4676	1814
0	267
7	156
25	256
3	116
9	116
2	158
6	110
58	156
0	0
0	136
9	163
0	136
0	0
0	106
3	165
1	1
4	732
2	76
90	736
4	2
11	0
4	0
0	0
0	0
1	0
0	0
0	1
4	35301
1	10
0	34171
0	30286
1	35290
0	31310
16	1213
108	701
6	1046
0	1134
60	1911
1	4
0	0
6	3
0	0
1	31
0	1
0	38
0	1
0	8
0	3
0	3
0	6
0	0
0	5
0	18
0	3
0	1
0	17
0	1
0	5
0	1
0	5
10	5
9	0
0	86
4	1
0	32
2	0
0	11
12	261
1	171
0	169
7	478
1	218
0	530
73	190
1	198
10	0
0	68
0	1
0	0
46	2
1	29
0	4
4	7
1	20
11	11
1	11
2	7
13	65
1	4
0	8
5	70
6	5
26	67
4	66
96	0
53	6
135	6
4	2
1	1
0	0
1	2
4	2
2	3
3	0
0	0
6	1
70	8
1	0
0	0
1	0
3	0
0	0
2	0
4	4
23	6
0	0
1	3
4	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
1	0
1	2
0	2
0	2
1	2
0	0
2	95
22	86
3	80
1	99
179	945
173	941
1	798
495	24
885	26
0	0
0	19
0	37
0	4
0	27
2	12
0	5
1	8
3	10
0	29
0	0
0	0
0	3
27	98
27	226
16	225
1	0
806	42
3	0
0	549
0	535
0	466
0	587
0	416
0	526
2	547
0	543
0	520
0	593
1	467
5	19
0	272
2	149
0	276
0	259
0	174
0	178
0	0
0	258
1	254
1	258
1	35
2	105
1	284
0	106
8	113
0	109
2	4
47	290
1136	793
19	768
0	0
0	134
24	220
0	39
2	38
140	233
2	46
5	46
2	34
11	2503
2	47
3	37
1	29
3	47
0	35
2	24
0	2505
8	50
0	45
6	49
0	61
18	33
16	2172
2	35
0	14
0	14
1	0
6	1587
42	1587
0	0
1	51
36	52
2	29
0	0
1	0
1	0
0	0
0	0
2922	114
6	430
71	468
1	465
3	688
13	1023
0	28
1	1131
2	172
4	1025
3	1168
44	1226
19	832
0	829
2	784
53	784
1	0
14	388
0	493
1	470
1	0
2177	81
2401	181
0	4
14	9
3	5
1	4
2206	160
2385	87
1	27
12	28
48	8231
2103	8273
31	2
15	1086
569	1003
141	1398
375	1015
0	1105
2	41
0	41
0	0
1	0
109	3
3	0
5	0
4689	253590
0	43
71	238923
2	42
6683	253558
534	12
0	0
13	1625
943	1502
53	1449
1493	1617
3	0
0	0
0	0
0	0
0	0
0	0
0	0
139	9
0	447
1	339
2	176
0	336
0	494
26	3
0	235
0	197
27	1
0	254
0	409
0	418
0	365
0	360
1	298
0	576
1	233
3	279
6	153
0	155
2	3
7	18
5	18
18	0
200	4
0	81
3	277
92	360
23	17
0	0
3	263
0	227
0	265
0	0
0	0
8	638
2	640
322	617
38	100
2	60
1	61
0	98
3	10
0	10
0	154
0	180
0	142
0	111
0	112
0	155
0	143
0	181
0	117
0	118
0	19
0	44
4	228
2	157
0	4
0	40
0	207
0	41
505	8893
0	71
0	133
0	197
47	7181
0	6300
0	270
0	266
12	4518
0	8965
0	75
0	4934
0	198
3	4986
0	9165
0	9093
0	166
1	0
2	1
0	1
0	2
4	40
12	107
0	201
1	19
0	134
0	10
2	128
0	128
0	140
10	129
6	61
0	162
5	13
0	20
0	89
3	74
1	16
21	180
0	165
0	140
1	14
0	51
6	45
0	2
0	2
1640	69
1	7
0	8
0	8
3	0
4	139
7	1114
0	10
299	1254
1	0
22	2
2	0
0	11
0	13
0	4
3	24
12	2
13	9
0	1
38	33
0	240
0	224
0	209
16	288
0	586
0	570
2	4
4	4
1	0
1	0
0	0
7	2891
120	988
14	854
61	2815
0	0
5	0
2	91
5	69
2	52
4	44
3	0
4	103
0	6
0	76
0	76
0	75
0	0
1	0
1	0
3	38
0	289
0	376
0	379
0	286
0	11
2	119
0	94
0	364
2	61
3	34
0	92
26	117
0	17
1	261
10	309
5	8
0	13
2	2
3	0
2	8
0	10
5	43
0	21
0	43
0	39
4	0
0	0
0	1
1	0
0	0
9	257
9	367
4	385
8	428
10	10
2	50
4	50
12	1016
34	95
11	810
22	626
6	0
1	0
2	0
5	0
0	0
0	21
1	24
4	20
0	42
0	56
0	0
1	20
0	42
0	54
0	37
0	54
0	56
8	29
24	30
4	0
0	1234
0	129
0	105
15	1003
0	1229
0	358
0	353
5	913
8	842
11	1
4	3
0	9
4	10
5	409
2	888
0	598
5	1620
114	2020
7	0
30	2
1	0
7	0
1	2
0	2
29	569
0	649
18	621
0	657
1	653
0	653
0	0
0	4
0	4
2	0
1	18
150	108
1	100
0	74
5	43
2	263
17	280
2	57
0	0
195	9
10	0
0	0
0	0
0	653
1	2
1	479
11	517
4	459
0	648
0	528
0	523
3	2
0	412
74	582
1	0
18	10
5	10
8	2
1	0
0	1
0	1
0	1
5	0
1	3
0	3
1	0
7	0
0	0
5	1694
14	1605
0	1785
10	1565
0	28
6	71
1	1692
9	70
0	0
6	124
3	124
1	0
5	379
10	2499
16	1184
6	2659
11	1595
32	3729
0	2948
0	2839
0	3133
0	2831
5	872
0	3250
3	300
30	15
1	955
8	654
0	775
0	781
0	740
0	711
147	1041
32	1037
2	645
5	189
5	1101
0	722
1	11
0	722
6	147
0	1149
5	1098
0	721
1	50
3	388
5	1096
7	323
0	0
10	26
0	295
0	309
32	32
0	228
0	271
0	321
4	108
0	292
21	9
1	274
0	163
0	278
0	314
0	299
0	300
11	296
0	105
0	307
0	302
2	44
0	89
0	316
5	37
0	246
0	67
17	103
1	77
45	316
0	11
11	61
0	305
1	0
3	0
1	0
1	0
13	0
0	4
2	4
11	6
1	1
0	0
0	4
1	4
1	0
0	4
2	323
15	342
49	517
2	804
110	788
0	343
4	12
3	71
29	74
0	143
0	72
0	132
0	143
2	72
5	142
0	105
0	73
0	8
2	8
0	0
0	0
3	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
1	0
0	2859
632	2881
0	1189
1	60
1	43
0	143
1	153
0	232
0	60
0	210
3	153
593	47399
3	34249
0	38791
0	39316
0	381
0	291
0	263
12	308
0	18
4	225
0	313
0	255
0	285
5	158
0	0
7	3
61	288
0	28
0	40
23	315
1	205
0	0
0	0
0	0
0	15797
0	9827
1161	2261
0	15795
0	9829
849	11183
7	456
55	457
3	0
7	67
1	173
52	174
0	0
691	32
0	0
12	211
353	230
1	13
1	4
90	380
2	1
27	336
0	335
3	384
0	0
0	0
1	0
4	0
0	0
4	0
2	0
83	15
2	2
0	0
0	0
0	211
1	215
0	211
419	224
0	0
12	1
31	0
0	0
0	0
0	0
0	0
0	0
3	141
0	147
4	143
0	154
1	99
2	147
1	127
1	53
0	51
0	139
0	0
9	7
0	183
50	183
0	167
0	0
0	0
44	151
0	611
0	595
0	515
5	13
127	119
24	279
0	531
0	775
0	759
0	2168
7	2828
10	2584
14	2717
0	3018
12	179
4	0
0	0
13	157
11	224
0	59
1	119
17	3
1	0
461	13
2	1
0	0
2	1
1	1
0	0
0	0
0	0
747	271
1	297
4	129
1	1
0	2
0	2
14	0
0	2
1	2
3	0
0	0
0	0
8	151
0	170
116	118
0	0
3	26
3	131
1	35
5	170
9	1
2	3
8	3
44	741
4	59
1	102
26	295
14	571
1162	708
28	351
0	70
7	32
114	554
23	325
1814	389
0	0
0	0
0	592
0	901
0	910
3	20
0	22
0	12
0	1015
0	20
23	0
0	183
0	20
14	2
0	1
0	0
2	453
0	983
3	11
0	1006
0	596
3	12
0	449
0	159
0	878
5	1
0	0
1	0
137	418
4	412
5	412
394	724
86	419
0	876
461	1595
183	1015
381	1244
414	784
221	1000
76	1258
2	96
0	98
0	116
8	118
0	0
30	12
165	12
5	151
0	22
0	161
4	156
1	89
3	120
3	150
607	81
0	166
0	153
0	187
2	2
3	39
0	108
3	150
0	0
228	7
944	49
2580	92
0	596
0	1385
0	1169
4	208
2	596
2	208
0	600
0	740
0	1245
0	524
1	1
1	0
0	0
9	4
0	6
3	0
0	419
2	840
128	846
0	241
2	220
0	1
1	1
11	2
8	0
2	0
0	0
7	1
2	0
10669	479
15	1
0	0
157	1406
0	75
0	1850
5	197
76	1782
0	147
0	582
113	1782
2	408
0	582
28	197
0	8
1	581
3	198
7	5
2	2
1	4
3	4
1	0
4	2
1	67
2	71
1	67
19	139
42	2
533	17
0	0
0	1
0	0
0	0
389	1277
14	445
41	600
9	209
14	554
5	2
68	116
0	0
0	0
3	0
1	194
0	178
0	149
0	198
0	185
42	145
0	152
0	169
2	0
3	0
0	3141
3	1763
0	30
1	2512
9	1111
0	6
17	58
5	32
31	2552
11	1047
6	794
18	2874
23	542
4	231
0	555
0	231
23	517
4	281
3	1
25	40
3	0
0	0
2619	121
0	0
2	0
7	508
3	508
23	488
3	508
37	1929
1735	1964
4	1929
82	6
17	1701
9	1217
656	1727
24	6
0	6
0	1
1	1
0	1
1	0
0	0
0	0
50	972
2	972
427	591
450	546
45	3
5	25
3	25
1	0
10	0
0	0
0	0
2	1
1	0
1	0
0	0
0	0
0	0
0	0
0	0
3	29
0	103
0	1275
6	21
0	1087
0	1267
0	1239
25	0
4	5
7	25
0	1139
0	1244
8	25
0	1252
0	1216
3	0
0	1051
3	31
0	1162
44	89
0	278
0	265
0	223
0	218
0	210
0	218
4	14
0	0
0	67
2	107
1	67
0	277
1	283
23	173
6	108
3	15
2	15
5	14
2	13
7	0
18	11
0	10
11	0
0	0
0	0
0	0
0	3
1	2
0	12
0	28
3	3
0	9
0	2
0	9
0	6
0	1052
4	17
4	1034
0	985
0	1030
0	1057
6	1057
0	1097
3	1
0	0
6	5
1	0
1	4
0	2
3	1
0	0
0	5
0	1
5	627
171	630
13	195
0	0
6	5
0	78
11	11
0	81
0	21
0	20
0	9
11	90
1	1
1	0
1	1
16	0
4	0
8	1
3	2
1	0
1	0
0	0
57	1
0	456
2	953
0	15
6	1281
4	249
0	194
0	181
0	163
0	443
2	648
0	0
12	0
0	0
1	1334
0	173
0	247
2	355
0	1431
0	1333
0	181
0	178
4	64
0	171
0	238
0	252
25	353
0	255
0	245
0	1319
7	1150
0	236
0	1387
46	8
0	1373
0	7
26	86
2	1447
2	343
0	1318
0	164
7	365
6	62
1	73
0	87
2	3
9	2
0	3
51	79
6	3
0	1
0	1
0	13
2	4
1	13
0	5
3	0
0	0
0	0
90	63
0	451
259	395
1	0
0	0
1	0
1060	51
0	0
268	549
0	217
5	325
5	41
0	78
0	35
1	1
0	89
0	0
0	0
1	7
4	7
1	0
0	1
17	1
0	0
0	0
4	228
1	348
2	321
1	343
0	335
0	336
0	265
0	332
0	344
2	319
4	211
4	145
4564	342
5	1
0	0
0	0
5	0
0	6
4	56
106	66
0	117
0	100
10	1
1	119
0	5
5	42
0	2
14	18
5	47
0	28
43	1
0	40
6	20
3	76
33	50
12	1
0	1
0	0
5	41
17	20
0	1
0	42
30	46
1	10
15	7
14	3
