"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Reactome Pathways"	"WikiPathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio P-Value: (head) / (body)"	"Abundance Ratio P-Value: (mucus) / (body)"	"Abundance Ratio P-Value: (pharynx) / (body)"	"Abundance Ratio P-Value: (mucus) / (head)"	"Abundance Ratio P-Value: (pharynx) / (head)"	"Abundance Ratio P-Value: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Abundances (Normalized): F2: Sample, body, 2"	"Abundances (Normalized): F6: Sample, body, 6"	"Abundances (Normalized): F10: Sample, body, 10"	"Abundances (Normalized): F1: Sample, head, 1"	"Abundances (Normalized): F5: Sample, head, 5"	"Abundances (Normalized): F9: Sample, head, 9"	"Abundances (Normalized): F4: Sample, mucus, 4"	"Abundances (Normalized): F8: Sample, mucus, 8"	"Abundances (Normalized): F12: Sample, mucus, 12"	"Abundances (Normalized): F3: Sample, pharynx, 3"	"Abundances (Normalized): F7: Sample, pharynx, 7"	"Abundances (Normalized): F11: Sample, pharynx, 11"	"Found in Sample: [S2] F2: Sample, body, 2"	"Found in Sample: [S6] F6: Sample, body, 6"	"Found in Sample: [S10] F10: Sample, body, 10"	"Found in Sample: [S1] F1: Sample, head, 1"	"Found in Sample: [S5] F5: Sample, head, 5"	"Found in Sample: [S9] F9: Sample, head, 9"	"Found in Sample: [S4] F4: Sample, mucus, 4"	"Found in Sample: [S8] F8: Sample, mucus, 8"	"Found in Sample: [S12] F12: Sample, mucus, 12"	"Found in Sample: [S3] F3: Sample, pharynx, 3"	"Found in Sample: [S7] F7: Sample, pharynx, 7"	"Found in Sample: [S11] F11: Sample, pharynx, 11"	"# Protein Groups"	"Modifications"
"-4137666002023082164"	"False"	"High"	"IsMasterProtein"	"CON_P00761"	"Trypsin OS=Sus scrofa PE=1 SV=1"	"0.000"	"62.239"	"25"	"4"	"736"	"4"	"231"	"24.4"	"7.18"	"9744"	"4"	"protein metabolism;other biological processes"	"non-structural extracellular"	"other molecular function"	"Pf00089"	""	"CON_P00761"	""	""	""	""	"0"	"1.002"	"2.463"	"0.789"	"2.459"	"0.787"	"0.320"	"0.72522689073132"	"0.035457005315051"	"0.997735601703504"	"0.155528426067965"	"0.624819254451201"	"0.0276118313256987"	"0.999999996406151"	"0.15955652391773"	"0.999999999997085"	"0.365749939726221"	"1"	"0.132281350514085"	"52369035187.9521"	"52466219898.4903"	"128998180109.219"	"41310030909.4475"	"46.91"	"40.13"	"21.54"	"44.28"	"20874961616"	"60434827091.4431"	"52369035187.9521"	"43003154444.2919"	"89894019905.8953"	"52466219898.4903"	"173438294334.468"	"128998180109.219"	"116168928844.012"	"22504090306.3127"	"41310030909.4475"	"58638877300.0351"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2938669550307228500"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1446_c0_g1_i1.p1"	"SMED3_DN1446_c0_g1~~SMED3_DN1446_c0_g1_i1.p1  ORF type:3prime_partial len:125 (-),score=18.70 SMED3_DN1446_c0_g1_i1:3-374(-)"	"0.000"	"57.987"	"51"	"9"	"807"	"1"	"124"	"14.4"	"9.70"	"10017"	"9"	""	""	""	""	""	"SMED3_DN1446_c0_g1_i1.p1"	""	""	""	""	"0"	"0.017"	"0.010"	"1.001"	"0.230"	"60.457"	"100.000"	"0.0349472469217075"	"0.00371205006811992"	"0.997804942857857"	"0.372382643384847"	"0.0448577640174741"	"0.00460533207987612"	"0.358458691457768"	"0.0347606974236087"	"0.999999999997085"	"0.630659512086812"	"0.575900387776737"	"0.0416631506943677"	"14848679028"	"245884772.990441"	"56595517.7577671"	"14865431497.0885"	"25.91"	"140.15"	"149.76"	"18.85"	"14848679028"	"22682116230.3214"	"14845742433.9651"	"2862472176.18452"	"172049433.33321"	"245884772.990441"	"14976655.7984842"	"714555869.233151"	"56595517.7577671"	"14865431497.0885"	"11504513293.999"	"16886501476.3844"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"1"	""
"321553058610475072"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1725_c0_g1_i3.p1"	"SMED3_DN1725_c0_g1~~SMED3_DN1725_c0_g1_i3.p1  ORF type:complete len:122 (-),score=21.43 SMED3_DN1725_c0_g1_i3:86-451(-)"	"0.000"	"98.152"	"50"	"5"	"1304"	"5"	"121"	"13.9"	"9.58"	"11959"	"5"	""	""	""	""	""	"SMED3_DN1725_c0_g1_i3.p1"	""	""	""	""	"0"	"0.043"	"0.016"	"1.120"	"0.382"	"26.169"	"68.519"	"0.0997925963268022"	"0.00720039328977506"	"0.999578772387698"	"0.288568916749461"	"0.0863473337896838"	"0.00632846402721376"	"0.585314126210672"	"0.052249348355508"	"0.999999999997085"	"0.535998143605922"	"0.754013312742569"	"0.0505115936117062"	"13158281427.591"	"563060580.26026"	"215043730.355066"	"14734550287.0762"	"28.34"	"132.67"	"121.99"	"20.88"	"19752394755.0208"	"13158281427.591"	"11867070014.432"	"5141891022.79265"	"389293601.151237"	"563060580.26026"	"20825767.0152179"	"900230173.598848"	"215043730.355066"	"20213315690.8649"	"14734550287.0762"	"13971548767.5744"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"2416756482822219868"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1446_c0_g1_i2.p1"	"SMED3_DN1446_c0_g1~~SMED3_DN1446_c0_g1_i2.p1  ORF type:complete len:165 (-),score=21.77 SMED3_DN1446_c0_g1_i2:81-575(-)"	"0.000"	"81.442"	"38"	"9"	"807"	"3"	"164"	"19.1"	"9.85"	"8643"	"9"	""	""	""	""	""	"SMED3_DN1446_c0_g1_i2.p1"	""	""	""	""	"0"	"0.021"	"0.010"	"0.862"	"0.017"	"41.281"	"100.000"	"0.0109149746126428"	"8.27678003257892E-05"	"0.996915229582231"	"0.00647931687653436"	"0.014206962821857"	"9.74538066759179E-05"	"0.210534476756613"	"0.00339089331959718"	"0.999999999997085"	"0.0515437629523742"	"0.369381033368281"	"0.00513534439354326"	"9170804604.75855"	"191606597.525948"	"3225651.19526429"	"7909753969.90941"	"18.86"	"122.77"	"137.21"	"13.04"	"7609023915.02083"	"11109202814.6627"	"9170804604.75855"	"1193345354.77391"	"98451327.447733"	"191606597.525948"	"2231145.52336234"	"33876434.9604107"	"3225651.19526429"	"8861434921.64644"	"6812842802.90366"	"7909753969.90941"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"5449770128653317074"	"False"	"High"	"IsMasterProtein"	"CON_P15636"	"Protease 1 OS=Achromobacter lyticus PE=1 SV=1"	"0.000"	"151.370"	"22"	"10"	"1052"	"10"	"653"	"68.1"	"7.24"	"9815"	"10"	"protein metabolism"	"non-structural extracellular"	"other molecular function"	"Pf01483, Pf18911"	""	"CON_P15636"	""	""	""	""	"0"	"0.850"	"1.947"	"0.855"	"2.290"	"1.005"	"0.439"	"0.873803752468438"	"0.0537963488191263"	"0.989676858700501"	"0.154536583169534"	"0.725109741736053"	"0.0352181349832509"	"0.999999996406151"	"0.20948617812438"	"0.999999999997085"	"0.36455196050503"	"1"	"0.151983022993196"	"7066841879.5069"	"6006969496.97184"	"13758021607.3871"	"6038909148.4582"	"40.61"	"27.97"	"29.43"	"32.35"	"3208033451.375"	"7707131286.61636"	"7066841879.5069"	"5976679200.19685"	"9453946305.39473"	"6006969496.97184"	"19182632241.4523"	"13758021607.3871"	"10727985860.2383"	"3363746585.78429"	"6038909148.4582"	"6584440075.64815"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-3812492351429837253"	"False"	"High"	"IsMasterProtein"	"SMED3_DN3327_c2_g1_i2.p1"	"SMED3_DN3327_c2_g1~~SMED3_DN3327_c2_g1_i2.p1  ORF type:complete len:114 (-),score=23.39 SMED3_DN3327_c2_g1_i2:120-461(-)"	"0.000"	"62.029"	"59"	"9"	"275"	"9"	"113"	"12.8"	"7.49"	"3942"	"9"	""	""	""	""	""	"SMED3_DN3327_c2_g1_i2.p1"	""	""	""	""	"0"	"0.305"	"0.578"	"0.450"	"1.892"	"1.474"	"0.779"	"0.913806769289185"	"0.988025879732456"	"0.739397978854135"	"0.986852503745083"	"0.979982125125328"	"0.890852603196734"	"0.999999996406151"	"0.99999999991784"	"0.999999999997085"	"0.99999999999253"	"1"	"0.99999999940526"	"4005035869.64527"	"1223408800.11073"	"2315172027.71978"	"1803112729.08217"	"67.69"	"25.41"	"77.87"	"66.46"	"629357130.9375"	"4005035869.64527"	"4010326059.50457"	"1095432460.32923"	"1745299851.41996"	"1223408800.11073"	"515015917.381208"	"2315172027.71978"	"4126511081.52001"	"303497694.817094"	"1803112729.08217"	"1807272155.96017"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3438774113382387543"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1446_c0_g1_i3.p1"	"SMED3_DN1446_c0_g1~~SMED3_DN1446_c0_g1_i3.p1  ORF type:complete len:131 (-),score=22.77 SMED3_DN1446_c0_g1_i3:98-490(-)"	"0.000"	"75.530"	"62"	"11"	"867"	"3"	"130"	"15.1"	"9.94"	"10510"	"11"	""	""	""	""	""	"SMED3_DN1446_c0_g1_i3.p1"	""	""	""	""	"0"	"0.023"	"0.010"	"0.907"	"0.100"	"40.117"	"100.000"	"0.0946756944150622"	"0.00633463443640214"	"0.999998178178514"	"0.265679785513387"	"0.0969292530305842"	"0.0064684532989373"	"0.56857825150305"	"0.0482831729425768"	"0.999999999997085"	"0.509126013321088"	"0.788241703303908"	"0.0511322680537993"	"2982266817.98347"	"67408887.3302336"	"6736050.30486127"	"2704224737.9195"	"14.95"	"141.97"	"157.09"	"20.96"	"3037188401.625"	"2982266817.98347"	"2293612011.47094"	"660754667.491563"	"23755066.8851319"	"67408887.3302336"	"1036340.48800373"	"116365918.334169"	"6736050.30486127"	"3322493140.28984"	"2177564146.21547"	"2704224737.9195"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"1"	""
"2615841210079492657"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1446_c1_g1_i1.p1"	"SMED3_DN1446_c1_g1~~SMED3_DN1446_c1_g1_i1.p1  ORF type:complete len:285 (-),score=103.03 SMED3_DN1446_c1_g1_i1:178-1032(-)"	"0.000"	"165.719"	"66"	"25"	"883"	"23"	"284"	"32.9"	"4.59"	"10934"	"25"	""	""	""	""	""	"SMED3_DN1446_c1_g1_i1.p1"	""	""	""	""	"0"	"0.449"	"0.157"	"0.607"	"0.351"	"1.354"	"3.856"	"0.999937441839213"	"0.395389051180515"	"0.950401682500523"	"0.420926963994021"	"0.963272672112658"	"0.673262494218652"	"0.999999996406151"	"0.81502365738625"	"0.999999999997085"	"0.682576128307901"	"1"	"0.99823801798199"	"2636671283.18105"	"1182698179.24389"	"415264833.0671"	"1601402561.47633"	"72.71"	"28.37"	"23.35"	"68.23"	"324034821.333333"	"2932751045.56159"	"2636671283.18105"	"1182698179.24389"	"1776890689.6796"	"1067192393.59453"	"355695323.960035"	"556881975.091228"	"415264833.0671"	"281982501.271523"	"1601402561.47633"	"1895857900.96414"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4537662753665878323"	"False"	"High"	"IsMasterProtein"	"SMED3_DN16918_c0_g1_i1.p1"	"SMED3_DN16918_c0_g1~~SMED3_DN16918_c0_g1_i1.p1  ORF type:complete len:175 (-),score=44.87 SMED3_DN16918_c0_g1_i1:210-734(-)"	"0.000"	"75.300"	"61"	"7"	"133"	"7"	"174"	"18.3"	"6.96"	"2039"	"7"	""	""	""	""	""	"SMED3_DN16918_c0_g1_i1.p1"	""	""	""	""	"0"	"1.131"	"0.073"	"0.328"	"0.064"	"0.289"	"4.500"	"0.688465520746135"	"0.521684287867372"	"0.992223718461686"	"0.127013770746687"	"0.536095403300321"	"0.673546277016448"	"0.999999996406151"	"0.95520684552252"	"0.999999999997085"	"0.325337453958073"	"1"	"0.99823801798199"	"2614325800.66606"	"2958097176.25871"	"190296343.723373"	"856333173.497118"	"83.65"	"17.98"	"24.58"	"99.95"	"80138762.9166667"	"3023207716.98509"	"2614325800.66606"	"2182390189.17148"	"2958097176.25871"	"3099447904.12361"	"190296343.723373"	"258476615.220019"	"161107224.000917"	"138846083.042077"	"856333173.497118"	"2286672149.15688"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"5775881474413058852"	"False"	"High"	"IsMasterProtein"	"SMED3_DN156_c11_g1_i1.p1"	"SMED3_DN156_c11_g1~~SMED3_DN156_c11_g1_i1.p1  ORF type:complete len:148 (-),score=31.95 SMED3_DN156_c11_g1_i1:159-581(-)"	"0.000"	"83.708"	"69"	"11"	"751"	"11"	"140"	"16.3"	"5.43"	"8167"	"11"	""	""	""	""	""	"SMED3_DN156_c11_g1_i1.p1"	""	""	""	""	"0"	"0.942"	"0.283"	"0.711"	"0.301"	"0.755"	"2.511"	"0.999786589902905"	"0.0189318921923478"	"0.53691192743942"	"0.0169576795457175"	"0.493379389283787"	"0.132156894370929"	"0.999999996406151"	"0.105615790060289"	"0.999999999997085"	"0.0878312288113588"	"1"	"0.377219481964266"	"2337389251.87026"	"2201601238.93768"	"662123561.122967"	"1662433908.68915"	"47.34"	"11.78"	"31.09"	"36.14"	"1129867324.66667"	"2337389251.87026"	"3238932164.10126"	"1827377424.45852"	"2297359507.26478"	"2201601238.93768"	"407764774.444406"	"784573799.363212"	"662123561.122967"	"810455286.866079"	"1697731601.18549"	"1662433908.68915"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
