SMED4_DN81283_c0_g1	HOG00037002_64
SMED4_DN4834_c0_g1	HOG00045896_65
SMED4_DN46328_c0_g2	HOG00044669_65
SMED4_DN11081_c0_g1	HOG00051388_67
SMED4_DN1137_c1_g1	HOG00013292_31
SMED4_DN63571_c0_g1	HOG00073582_73
SMED4_DN84568_c0_g1	HOG00036239_64
SMED4_DN200_c0_g1	HOG00073582_73
SMED4_DN10442_c0_g1	HOG00055516_69
SMED4_DN1331_c0_g1	HOG00073582_73
SMED4_DN5322_c1_g1	HOG00044809_65
SMED4_DN6253_c0_g1	HOG00047641_65
SMED4_DN137863_c0_g1	HOG00051919_67
SMED4_DN14269_c1_g1	HOG00070932_73
SMED4_DN76119_c0_g1	HOG00053928_68
SMED4_DN26725_c1_g4	HOG00073582_73
