,original_id,sequence_length
924d16f012dba3a7ab1c7fb38b811640,SMED3_DN23904_c0_g1_i9.p1,4951
d0bb8d27167bf098ff25837be2bd3599,SMED3_DN3522_c0_g1_i1.p1,4781
50c6ac6c5b5a2e7738823d6edaec13b7,SMED3_DN3062_c0_g1_i2.p1,4737
ac6de569cd1fd59b12423dab7b5bde5e,SMED3_DN9003_c0_g1_i2.p1,4692
ae264c38e68252c237a606a97a017e89,SMED3_DN126_c0_g2_i1.p1,4681
e56bff3d7295f0b64049ced2efe9681f,SMED3_DN630_c0_g1_i1.p1,4674
2ce25ad199b368a0f53a56480ba9af78,SMED3_DN928_c1_g6_i3.p1,4637
43686c2b6e3ef5600e42f3f1d6eb8b78,SMED3_DN5232_c0_g1_i1.p1,4627
e6206469f569db3ca74f5367cd289b8e,SMED3_DN10011_c0_g2_i2.p1,4626
bbd1a7ee43d070acefc5d90e9b49ca31,SMED3_DN9145_c0_g3_i13.p1,4620
e1bcfab049175eac108276b2436549c5,SMED3_DN141_c0_g1_i3.p1,4583
746805a2e6780d992ec4de55e79fed6c,SMED3_DN6402_c2_g3_i1.p1,4537
ff38136161bf1d5bd943342f92fa7717,SMED3_DN7732_c0_g1_i1.p1,4520
ce4762bb599d919b74d99583d983dbd5,SMED3_DN4839_c0_g1_i10.p1,4501
77db76dfb1c1421e70495928e6e2fd45,SMED3_DN23792_c0_g1_i1.p1,4464
ebb208f60a8a62159acc7f3f9e5d0c21,SMED3_DN1084_c1_g1_i5.p1,4308
fd4165bb2758a57d45aed0aa4462b170,SMED3_DN4752_c0_g1_i8.p1,4302
11099af33d50c2e374492db357b06356,SMED3_DN2723_c0_g3_i4.p1,4299
16010be3b7ec8c414192f6013b6cef6f,SMED3_DN3722_c0_g1_i6.p1,4259
9cfef5e0f2bb0cc304cc7e9943c76fa2,SMED3_DN10122_c0_g1_i8.p1,4224
ebbc8e28fa71af8c007c3bb293259832,SMED3_DN870_c0_g1_i25.p1,4212
96645ecd06fafd9e395f66f3dccecf74,SMED3_DN2794_c1_g1_i2.p1,4199
f818ccc7a02c7ac1804cf2ceb83b6fc2,SMED3_DN922_c0_g1_i12.p1,4190
2b7ca5e1a5c2a411348f2f5283a0a88c,SMED3_DN7628_c0_g3_i1.p1,4189
ebd98a35544d3322dc3c784dfc24c73f,SMED3_DN37073_c0_g2_i2.p1,4136
d6602133d88a595b2c5f1630efa064a7,SMED3_DN413_c0_g1_i47.p1,4113
4fea598bbd16d9c2a4a373532655df3e,SMED3_DN10011_c1_g1_i1.p1,4105
2a37cf59afcb2852b2435c2d77266ad8,SMED3_DN11899_c0_g1_i32.p1,4094
5b2d7b264ba02642234031538ce27e1f,SMED3_DN572_c1_g1_i9.p1,4068
