,original_id,sequence_length
ae522320bc10a47a939306f7e9ad297a,ONUN2_DN4966_c0_g1_i4.p1,4989
45ca483262fb06a68dd3cf7075a086db,ONUN2_DN919_c0_g1_i16.p1,4832
b6c0cd574c4feb6192c3e120e530b1c9,ONUN2_DN8090_c1_g2_i2.p1,4781
4f8f4c0a0fac506a8fcbf91aff09163d,ONUN2_DN237_c0_g1_i8.p1,4696
fbf505eff643a60d33bbc8537ed8793c,ONUN2_DN1808_c0_g1_i3.p1,4675
e1ae53c16f6cae8cd5109d845b71e011,ONUN2_DN10577_c0_g1_i9.p1,4672
f9cb935dac3f7773417a82892f0fece7,ONUN2_DN6478_c2_g1_i4.p1,4666
0832bdf31563e08549e90da3362328ff,ONUN2_DN2663_c0_g1_i1.p1,4629
8b4b7d7a3e256a759c4025ef5ab8b79c,ONUN2_DN3764_c0_g1_i2.p1,4613
e09e6b35323475ddf5d908da97f60c04,ONUN2_DN1750_c0_g1_i3.p1,4612
1ecbea3639fda89a463aaecf1ac0c34f,ONUN2_DN13413_c0_g1_i4.p1,4541
cfcf2056d2c3ee5137a2bfa98865bd4b,ONUN2_DN2013_c0_g1_i8.p1,4530
e1d79681a6df1163538560ddf5884331,ONUN2_DN7073_c0_g1_i5.p1,4266
ffc0161c879fa1ce303e29080a53f46f,ONUN2_DN1330_c0_g1_i1.p1,4193
2cba599f0ed35b7ac943fb4b4c3c6192,ONUN2_DN2593_c0_g1_i12.p1,4192
4229fe716ce484f7379d0c667d40506e,ONUN2_DN16723_c0_g1_i2.p1,4191
cad2914836e4a3dcf1e0c17f791b3abe,ONUN2_DN3052_c0_g1_i4.p1,4141
1ca90d4b8b7965aa3158e8b9b6e1b1c1,ONUN2_DN5446_c0_g1_i8.p1,4122
ceb791647427863401caf222428022d1,ONUN2_DN346_c0_g1_i1.p1,4058
f5dc7cca0ba300dc25b916e7d81bd3ad,ONUN2_DN5196_c0_g1_i10.p1,4034
11413cf13fcd021715ce633d5bec7621,ONUN2_DN14252_c0_g1_i1.p1,3980
ba58c4847fd286e807ffc0b91dcb67b8,ONUN2_DN2723_c0_g2_i1.p1,3968
41287d8efb9267c16a405da62f245b11,ONUN2_DN2635_c0_g1_i6.p1,3961
021dfede99011988db1fa45638769019,ONUN2_DN6937_c0_g1_i3.p1,3925
c72639f78b0b6c6277d1cffd74776cc3,ONUN2_DN45416_c1_g1_i1.p1,3909
159e242dcbe20ec525b9f09b2b369bbd,ONUN2_DN2755_c0_g1_i9.p1,3848
d01e6aa3483f909a3a415913e0c12b24,ONUN2_DN1067_c0_g1_i1.p1,3801
2bb2e25035a69e05c46963984afd937c,ONUN2_DN3771_c0_g1_i6.p1,3790
e2458054a1223034e4cb602dfebbb966,ONUN2_DN856_c0_g2_i1.p1,3732
41efb418f2c9830c8c126470c7e2e676,ONUN2_DN3338_c0_g1_i4.p1,3665
dc6870267b4a5d8a98428002ce206ffb,ONUN2_DN3294_c0_g1_i4.p1,3657
505fa5b2d1766b4344a1980bdc77ffc1,ONUN2_DN6562_c0_g1_i5.p1,3605
01289c0dca2c8a60f1929fac7fef3db5,ONUN2_DN1933_c0_g1_i8.p1,3539
be817ad22347b4d4b4c8606dcfe86640,ONUN2_DN10384_c0_g1_i7.p1,3525
44863f43996a23047aa02bfd6df939bb,ONUN2_DN15236_c0_g1_i7.p1,3472
a85d65dc52c2fa3df9ffc64f7a848edd,ONUN2_DN2845_c0_g1_i3.p1,3461
a7c60242a84a44d17d61b1e701a3760b,ONUN2_DN2300_c0_g1_i29.p1,3354
26f5b6be4dbc7b93e85018c19af97f4a,ONUN2_DN1389_c0_g1_i3.p1,3352
c93736b6791ad045188cda5bb71dba8f,ONUN2_DN1303_c0_g1_i3.p1,3346
cdac7bb408632c1852931947a691fe0d,ONUN2_DN5684_c0_g1_i27.p1,3317
4fd0fb47be3fc01a16be152bf6c5f998,ONUN2_DN3858_c0_g1_i5.p1,3294
7c6d849f693dfc6008d3548a5a90d801,ONUN2_DN3074_c0_g2_i1.p1,3291
8a3d3969f82681c8f10101269388a1f1,ONUN2_DN5984_c0_g2_i3.p1,3271
fe3c46cb1fedc728db32c6f8b89d0a1c,ONUN2_DN12746_c0_g1_i14.p1,3250
a5eebd771513716929297be813befe8d,ONUN2_DN436_c0_g1_i5.p1,3249
45fbbe9532aadaf331f1a3148018d1b3,ONUN2_DN13945_c1_g1_i12.p1,3196
b9ecff8e14b3af5afa86ff5b0c7aba69,ONUN2_DN261_c1_g1_i5.p1,3145
ff41c3140fc170eec63a0202c9a0a017,ONUN2_DN45416_c0_g1_i5.p1,3137
7d8249676ccf1c8aac6bc59d56270201,ONUN2_DN4025_c0_g3_i1.p1,3126
b9e2483226d024e3d88f39f9e7348a95,ONUN2_DN1132_c0_g2_i2.p1,3107
5167812c5371e83418ca30e2fd98520a,ONUN2_DN6950_c0_g1_i10.p1,3058
cab75d7153714da3f3a4dde02bb12740,ONUN2_DN4007_c0_g2_i4.p1,3053
7029567cf926642753939fac3d91e498,ONUN2_DN1256_c0_g1_i8.p1,3010
4915375ca51728ddeb64cf01fd1ebbae,ONUN2_DN27629_c0_g1_i38.p1,2997
1d9292b83cbd97f58a1e07221636bc33,ONUN2_DN3621_c0_g1_i6.p1,2995
bf919b6fd83767326569566539a4f4d1,ONUN2_DN18_c0_g1_i10.p1,2990
af51db694b1c2806fe1973255ede69ab,ONUN2_DN1670_c1_g1_i1.p1,2966
58b3dc44cf8b488db110034fe71fb3b0,ONUN2_DN12766_c0_g1_i12.p1,2940
9579aa26815ffe610360a6784c3923dc,ONUN2_DN2234_c0_g1_i3.p1,2916
ffe903b78e98b9c5ae02a3062e62b96b,ONUN2_DN4091_c0_g1_i2.p1,2909
97f5f98ed5a8d0205f52e29a1190083a,ONUN2_DN511_c0_g1_i15.p1,2898
28909235382c82834dc40f0dac82f99e,ONUN2_DN2365_c0_g1_i2.p1,2882
9ee2607b57dad27f668d22049e53ba46,ONUN2_DN29323_c0_g1_i5.p1,2874
4cf71f54fc91daefb44867485d52f644,ONUN2_DN2339_c0_g1_i1.p1,2867
531f030e849e644fba29fe20af555ce7,ONUN2_DN6180_c0_g1_i2.p1,2858
1e56b59bef9b0fa7e6f04803f6ab7b1f,ONUN2_DN1868_c1_g1_i6.p1,2843
be874125654409c4f03a0d7482bd5bff,ONUN2_DN11558_c0_g1_i2.p1,2811
d7c54ebeecb58602dcf21cafdb82d32e,ONUN2_DN6260_c0_g2_i1.p1,2808
9dc593017775b09bedd5f58622140919,ONUN2_DN3941_c0_g1_i32.p1,2804
dfd9f24ddd550a9b1387544158f9d4a4,ONUN2_DN2213_c0_g1_i3.p1,2790
5560d714b423b33e976d083e17826e7c,ONUN2_DN10209_c0_g1_i2.p1,2766
e154c0ab43e1df12d71c803ae83960fc,ONUN2_DN1909_c0_g1_i5.p1,2761
f7c96a60959441c34bf875fa2bf80ed2,ONUN2_DN6674_c0_g1_i19.p1,2750
fd588a8d8bf1d7f555daf4cf7e499274,ONUN2_DN4798_c0_g1_i3.p1,2746
e2fe4dca3fd41b65a06115fe362154d8,ONUN2_DN56935_c0_g1_i1.p1,2735
c4ff2bb56404e2d298d82ab091451446,ONUN2_DN7598_c0_g1_i2.p1,2729
e9de7464a3c810fd24475053e8ad921f,ONUN2_DN20206_c0_g1_i3.p1,2724
1b3f1a05cd6e5e23cf693f6d69e4b9b9,ONUN2_DN1064_c1_g1_i1.p1,2718
3b54aad9eb9a4fb2aa6b51c20784706f,ONUN2_DN4533_c0_g1_i9.p1,2714
b52bf45c05283f1c67eed0902dbf8fa7,ONUN2_DN421_c2_g1_i1.p1,2710
6161342461a99d8bc19d2388b8adb700,ONUN2_DN1093_c0_g1_i13.p1,2707
d1cb750436c6a1715a0f44068c93bae1,ONUN2_DN10778_c0_g1_i18.p1,2673
b03d71be62091242b7c27c19f6788e8e,ONUN2_DN10248_c1_g1_i5.p1,2671
121989f4c29bd3e714e7227fb07157e6,ONUN2_DN9245_c0_g1_i9.p1,2671
24bde68b6596e2e9208dc5cd155b6287,ONUN2_DN5092_c0_g1_i27.p1,2670
8ae4197aad01c63d3facc42c487952d3,ONUN2_DN36845_c0_g1_i1.p1,2645
099e57f136035a3035bbc0a4e3fa864e,ONUN2_DN3182_c1_g1_i10.p1,2641
fe7585ae626cd92e879a80af6df4ace8,ONUN2_DN1710_c0_g1_i1.p1,2624
774d0e3cccd9dee3ab0d255725383071,ONUN2_DN4399_c1_g1_i26.p1,2623
0a143883d24318fd2811b971b3893c7b,ONUN2_DN13839_c0_g2_i5.p1,2544
5f4eefacb1b4518d31ec8ae5d31dac6e,ONUN2_DN42111_c0_g1_i17.p1,2538
5ad1051960f56fd15ba58b27c816c938,ONUN2_DN23723_c0_g1_i10.p1,2536
6a85e69e2517a25174fcd3cbd6a4d73b,ONUN2_DN1567_c0_g2_i5.p1,2531
6a43755018e1c716bbfdf8afb7ca4f6a,ONUN2_DN1006_c0_g1_i9.p1,2519
4db407341af61b947e45d415bf583fe1,ONUN2_DN3716_c0_g1_i10.p1,2506
2d1ebbae11a0c9159da825904278ab17,ONUN2_DN0_c5_g1_i6.p1,2505
c68ddd90e28d7420b47308e7439c06e4,ONUN2_DN8419_c0_g1_i1.p1,2501
4125d530cbc8320f8d13b4f6a63f56f3,ONUN2_DN606_c0_g2_i1.p1,2498
b4b4ad7c5c82ef3b47ba0b6eb78f1115,ONUN2_DN2562_c0_g1_i11.p1,2485
c0e4eb280fc95398879a3cf26f7972aa,ONUN2_DN3207_c0_g1_i3.p1,2478
d4d8eec3127f6dbfdda35a8ea4011ce8,ONUN2_DN23019_c0_g1_i5.p1,2467
0739c2a3ecb9b6b92ccf3368dcd262d9,ONUN2_DN2136_c0_g1_i2.p1,2461
92dc34d2abce1436654b00dff19c1887,ONUN2_DN2840_c0_g1_i1.p1,2461
97464849b71e15da67179f05faa5ce2a,ONUN2_DN1533_c0_g1_i10.p1,2457
