"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Reactome Pathways"	"WikiPathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Found in Sample: [S2] F2: Sample, 2, body"	"Found in Sample: [S6] F6: Sample, 6, body"	"Found in Sample: [S10] F10: Sample, 10, body"	"Found in Sample: [S1] F1: Sample, 1, head"	"Found in Sample: [S5] F5: Sample, 5, head"	"Found in Sample: [S9] F9: Sample, 9, head"	"Found in Sample: [S4] F4: Sample, 4, mucus"	"Found in Sample: [S8] F8: Sample, 8, mucus"	"Found in Sample: [S12] F12: Sample, 12, mucus"	"Found in Sample: [S3] F3: Sample, 3, pharynx"	"Found in Sample: [S7] F7: Sample, 7, pharynx"	"Found in Sample: [S11] F11: Sample, 11, pharynx"	"# Protein Groups"	"Modifications"
"5292982971640646555"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2451_c0_g1_i4.p1"	"ONUN2_DN2451_c0_g1~~ONUN2_DN2451_c0_g1_i4.p1  ORF type:complete len:5824 (-),score=893.89 ONUN2_DN2451_c0_g1_i4:105-17576(-)"	"0.000"	"1062.506"	"43"	"214"	"1195"	"206"	"5823"	"677.0"	"9.11"	"15465"	"214"	""	""	""	""	""	"ONUN2_DN2451_c0_g1_i4.p1"	""	""	""	""	"0"	"0.449"	"1.448"	"0.603"	"3.224"	"1.343"	"0.417"	"0.705352524416294"	"0.999999999988851"	"1"	"0.508957331699402"	"0.999999999946628"	"0.999999999996024"	"459541913.038832"	"206369732.822696"	"665415611.432558"	"277161018.774655"	"45.46"	"13.50"	"52.98"	"78.31"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2581279049083451218"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2845_c0_g1_i3.p1"	"ONUN2_DN2845_c0_g1~~ONUN2_DN2845_c0_g1_i3.p1  ORF type:complete len:3832 (-),score=542.07 ONUN2_DN2845_c0_g1_i3:132-10517(-)"	"0.000"	"1046.492"	"54"	"169"	"1860"	"75"	"3461"	"401.1"	"9.29"	"22464"	"169"	""	""	""	""	""	"ONUN2_DN2845_c0_g1_i3.p1"	""	""	""	""	"0"	"24.301"	"100.000"	"2.323"	"80.265"	"0.096"	"0.010"	"0.122428113409609"	"0.00444833187259313"	"1"	"0.0505422634442485"	"0.347789382726084"	"0.00974613265662324"	"1073646.22596675"	"26090159.8988375"	"2094130308.18563"	"2493585.87695914"	"48.78"	"130.77"	"44.84"	"70.01"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"1"	""
"7099204346760760837"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN156_c0_g1_i8.p1"	"ONUN2_DN156_c0_g1~~ONUN2_DN156_c0_g1_i8.p1  ORF type:complete len:1944 (-),score=455.20 ONUN2_DN156_c0_g1_i8:132-5963(-)"	"0.000"	"911.230"	"60"	"111"	"1739"	"1"	"1943"	"222.9"	"5.73"	"25333"	"111"	""	""	""	""	""	"ONUN2_DN156_c0_g1_i8.p1"	""	""	""	""	"0"	""	"100.000"	""	"100.000"	""	"0.010"	""	""	""	""	""	""	""	""	"19379171.1799734"	""	""	""	"94.59"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"1"	"Acetyl [N-Term]"
"5865962178956575096"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2845_c0_g1_i9.p1"	"ONUN2_DN2845_c0_g1~~ONUN2_DN2845_c0_g1_i9.p1  ORF type:complete len:2327 (-),score=358.15 ONUN2_DN2845_c0_g1_i9:4648-11601(-)"	"0.000"	"727.407"	"52"	"109"	"1306"	"15"	"2317"	"266.9"	"9.22"	"16618"	"109"	""	""	""	""	""	"ONUN2_DN2845_c0_g1_i9.p1"	""	""	""	""	"0"	"3.622"	"100.000"	"1.212"	"30.374"	"0.335"	"0.011"	"0.149892247883025"	"0.000873514754708056"	"1"	"0.00671401981152829"	"0.445784332270189"	"0.00124322007232216"	"17021316.703197"	"61651033.6586501"	"1872583351.44541"	"20625764.8807248"	"33.77"	"55.57"	"33.63"	"49.48"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"-4229342028473181025"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1466_c0_g1_i5.p1"	"ONUN2_DN1466_c0_g1~~ONUN2_DN1466_c0_g1_i5.p1  ORF type:complete len:2439 (-),score=535.49 ONUN2_DN1466_c0_g1_i5:329-7645(-)"	"0.000"	"710.598"	"59"	"132"	"1101"	"2"	"2438"	"284.0"	"5.27"	"12935"	"132"	""	""	""	""	""	"ONUN2_DN1466_c0_g1_i5.p1"	""	""	""	""	"0"	"10.388"	"2.714"	"2.026"	"0.261"	"0.195"	"0.747"	""	""	""	""	"0.474317800418971"	""	"1944921.82253957"	"20204501.7715206"	"5277702.73475919"	"3941030.0323214"	""	"55.52"	""	"25.41"	"Peak Found"	"Not Found"	"Not Found"	"High"	"High"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"1"	""
"5336688172737878264"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1466_c0_g1_i4.p1"	"ONUN2_DN1466_c0_g1~~ONUN2_DN1466_c0_g1_i4.p1  ORF type:complete len:2417 (-),score=529.63 ONUN2_DN1466_c0_g1_i4:329-7579(-)"	"0.000"	"707.057"	"59"	"131"	"1100"	"1"	"2416"	"281.7"	"5.30"	"12839"	"131"	""	""	""	""	""	"ONUN2_DN1466_c0_g1_i4.p1"	""	""	""	""	"0"	"12.507"	"4.190"	"1.770"	"0.335"	"0.142"	"0.422"	"0.0781231924138909"	""	"1"	""	"0.13823914680535"	""	"3720046.78264353"	"46526618.4086431"	"15587771.208214"	"6583633.39116018"	"6.46"	"37.66"	""	"36.93"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"1"	""
"-8958803609271375980"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN156_c0_g1_i1.p1"	"ONUN2_DN156_c0_g1~~ONUN2_DN156_c0_g1_i1.p1  ORF type:complete len:1309 (-),score=333.90 ONUN2_DN156_c0_g1_i1:132-4058(-)"	"0.000"	"690.956"	"62"	"83"	"1188"	"1"	"1308"	"151.4"	"5.57"	"17507"	"83"	""	""	""	""	""	"ONUN2_DN156_c0_g1_i1.p1"	""	""	""	""	"0"	"100.000"	""	""	"0.010"	"0.010"	""	""	""	""	""	""	""	""	"3976336"	""	""	""	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"2463211089026509137"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN2013_c0_g1_i4.p1"	"ONUN2_DN2013_c0_g1~~ONUN2_DN2013_c0_g1_i4.p1  ORF type:complete len:4531 (-),score=955.00 ONUN2_DN2013_c0_g1_i4:790-14382(-)"	"0.000"	"664.285"	"40"	"140"	"1118"	"140"	"4530"	"504.1"	"5.95"	"11048"	"140"	""	""	""	""	""	"ONUN2_DN2013_c0_g1_i4.p1"	""	""	""	""	"0"	"12.123"	"3.287"	"11.027"	"0.271"	"0.910"	"3.355"	"0.728080084925563"	"0.999999999988851"	"1"	"0.999999999928841"	"0.999999999946628"	"0.999999999996024"	"14147731.7912791"	"171506148"	"46502238.456561"	"156013935.472258"	"137.98"	"27.47"	"99.31"	"92.07"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2951493534233828311"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN8419_c0_g1_i1.p1"	"ONUN2_DN8419_c0_g1~~ONUN2_DN8419_c0_g1_i1.p1  ORF type:complete len:2502 (-),score=395.11 ONUN2_DN8419_c0_g1_i1:165-7670(-)"	"0.000"	"618.875"	"57"	"97"	"1226"	"95"	"2501"	"273.0"	"5.68"	"14784"	"97"	""	""	""	""	""	"ONUN2_DN8419_c0_g1_i1.p1"	""	""	""	""	"0"	"3.329"	"0.060"	"1.725"	"0.018"	"0.518"	"28.711"	"0.475723079705479"	"0.0369602688988974"	"1"	"0.0122697934999981"	"0.962285848105402"	"0.0212218522659312"	"57564335.355587"	"191656413.883781"	"3457827.45440704"	"99278850.0464193"	"64.76"	"19.95"	"36.78"	"78.96"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"9219973447743736941"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN119_c0_g1_i2.p1"	"ONUN2_DN119_c0_g1~~ONUN2_DN119_c0_g1_i2.p1  ORF type:complete len:2346 (-),score=536.86 ONUN2_DN119_c0_g1_i2:569-7567(-)"	"0.000"	"560.734"	"48"	"104"	"932"	"103"	"2332"	"272.7"	"5.33"	"10440"	"104"	""	""	""	""	""	"ONUN2_DN119_c0_g1_i2.p1"	""	""	""	""	"0"	"0.698"	"0.574"	"0.494"	"0.823"	"0.708"	"0.861"	"0.695471943932439"	"0.366112549000795"	"1"	"0.999999999928841"	"0.999999999946628"	"0.999999999996024"	"225536871.453897"	"157356686"	"129535182.431613"	"111469384.846286"	"37.34"	"13.45"	"48.92"	"31.64"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
