Gene	GO
SMED3_DN10014_c0_g1	GO:1901336,GO:0017000,GO:0005737,GO:0005506,GO:0031418,GO:0016706
SMED3_DN1001_c1_g1	GO:0110095,GO:0005634,GO:0005829,GO:0005737,GO:0016491
SMED3_DN10023_c0_g1	GO:0040025,GO:0002119,GO:0040026,GO:0018991,GO:0000902,GO:0009792,GO:0016020,GO:0016021,GO:0016746
SMED3_DN10027_c1_g1	GO:0030282,GO:0048570,GO:0030198,GO:0001501,GO:0005615,GO:0005576,GO:0031012,GO:0005581,GO:0005201,GO:0046872
SMED3_DN10027_c2_g1	GO:0000281,GO:0042127,GO:0030866,GO:0043520,GO:0060100,GO:0032466,GO:1905169,GO:0007265,GO:0045806,GO:0051270,GO:0016363,GO:0005811,GO:0009898,GO:0045335,GO:0005886,GO:0044354,GO:0005938,GO:0003925,GO:0019003,GO:0005515,GO:0005525
SMED3_DN10041_c0_g1	GO:0006897,GO:0051321,GO:0030173,GO:0005737,GO:0008289
SMED3_DN10051_c0_g1	GO:0031638,GO:0090472,GO:0005576,GO:0004252,GO:0046872
SMED3_DN1005_c2_g1	GO:0034587,GO:0030719,GO:0043186,GO:0005515
SMED3_DN10069_c0_g2	GO:0008380,GO:0051028,GO:0006397,GO:0005634,GO:0005681,GO:0016887,GO:0003723,GO:0003724,GO:0005524
SMED3_DN1007_c0_g2	GO:0006325,GO:0002168,GO:0035076,GO:0006355,GO:0035220,GO:0010452,GO:0005634,GO:0005694,GO:0000785,GO:0003677,GO:0046975,GO:0051219
SMED3_DN1007_c0_g5	GO:0006635,GO:0005739,GO:0004300
SMED3_DN1007_c0_g7	GO:0006412,GO:0006413,GO:0006417,GO:0008340,GO:0005737,GO:0016281,GO:0003743,GO:0000340
SMED3_DN1007_c2_g1	GO:0043408,GO:0006468,GO:0051262,GO:0055001,GO:0008340,GO:0035556,GO:0005737,GO:0004674,GO:0106310,GO:0004712,GO:0005524
SMED3_DN10083_c0_g4	GO:0016126,GO:0016020,GO:0016021,GO:0071949,GO:0004128
SMED3_DN10087_c1_g1	GO:0009249,GO:0019464,GO:0005960,GO:0005737,GO:0005739,GO:0005524
SMED3_DN1010_c0_g1	GO:0007218,GO:0005576,GO:0042803,GO:0043621
SMED3_DN1011_c0_g1	GO:0032780,GO:1905707,GO:0005634,GO:0005739,GO:0042030
SMED3_DN10128_c0_g1	GO:0008380,GO:0006397,GO:0005634,GO:0003723
SMED3_DN10137_c0_g1	GO:0070527,GO:0030168,GO:0005790,GO:0005829,GO:0005788,GO:0005793,GO:0042470,GO:0005615,GO:0005886,GO:0034663,GO:0015035,GO:0003756
SMED3_DN1013_c1_g1	GO:0042147,GO:0006886,GO:0006907,GO:0005769,GO:0005829,GO:0070685,GO:0031313,GO:0031234,GO:0001891,GO:0005737,GO:0005886,GO:0031901,GO:0001726,GO:0035091,GO:0034452
SMED3_DN10143_c0_g1	GO:0046513,GO:0061576,GO:0005635,GO:0005783,GO:0005789,GO:0016021,GO:0005515,GO:0050291
SMED3_DN10145_c0_g3	GO:0006468,GO:0051321,GO:0005634,GO:0004674,GO:0106310,GO:0004712,GO:0005524
SMED3_DN10147_c0_g3	GO:0008645,GO:0016020,GO:0015149
SMED3_DN10150_c0_g1	GO:0006886,GO:0007265,GO:0006888,GO:0005886,GO:0030127,GO:0005515
SMED3_DN10156_c0_g1	GO:0016055,GO:0060810,GO:0045475,GO:0006468,GO:0008062,GO:0016319,GO:0007310,GO:0050807,GO:0080163,GO:0005634,GO:0005956,GO:0005737,GO:0099523,GO:0031594,GO:0019887
SMED3_DN1015_c0_g1	GO:0050790,GO:0006511,GO:0042176,GO:0008541,GO:0000502,GO:0030234
SMED3_DN10174_c0_g1	GO:0006783,GO:0006782,GO:0005759,GO:0005739,GO:0008483,GO:0003870,GO:0030170
SMED3_DN1017_c0_g2	GO:0045292,GO:0000244,GO:0071013,GO:0005634,GO:0046540,GO:0005515
SMED3_DN10181_c0_g1	GO:0019556,GO:0019557,GO:0005829,GO:0016153
SMED3_DN10187_c0_g1	GO:0050790,GO:0043161,GO:0000502,GO:0030234,GO:0005198
SMED3_DN10190_c0_g2	GO:0006884,GO:0000387,GO:0045292,GO:0006821,GO:0005856,GO:0005634,GO:0005829,GO:0005737,GO:0034715,GO:0005886,GO:0034709,GO:0005681,GO:0005515
SMED3_DN10196_c0_g1	GO:0006412,GO:0006432,GO:0009328,GO:0005737,GO:0004826,GO:0000287,GO:0003723,GO:0005524
SMED3_DN10198_c0_g1	GO:0006552,GO:0005739,GO:0008470,GO:0050660
SMED3_DN101_c2_g1	GO:0015031,GO:0005765,GO:0005525,GO:0003924
SMED3_DN10201_c0_g1	GO:0008154,GO:0030833,GO:0018107,GO:0008039,GO:0031032,GO:0005856,GO:0005737,GO:0030426,GO:0030424,GO:0004674,GO:0004712,GO:0046872,GO:0005524,GO:0005515,GO:0106310
SMED3_DN10204_c1_g1	GO:0039553,GO:0030683,GO:0005576,GO:0008009
SMED3_DN10208_c0_g2	GO:0006208,GO:0005737,GO:0004157,GO:0008270
SMED3_DN1020_c0_g1	GO:0051321,GO:0005737,GO:0005634,GO:0031965,GO:0016021,GO:1990846
SMED3_DN1023_c0_g1	GO:0019441,GO:0005634,GO:0005730,GO:0110129,GO:1990342,GO:0000775,GO:0005694,GO:0099115,GO:0033553,GO:0070824,GO:0005721,GO:0140720,GO:0031934,GO:0003847
SMED3_DN10264_c0_g2	GO:0006032,GO:0000272,GO:0005576,GO:0004568,GO:0008061
SMED3_DN10277_c0_g1	GO:0020035,GO:0005886,GO:0042995,GO:0033111,GO:0003723
SMED3_DN1027_c0_g1	GO:0050765,GO:0045944,GO:0060368,GO:0046718,GO:0035456,GO:0071345,GO:0071222,GO:0051607,GO:0035455,GO:0090305,GO:0006955,GO:0032091,GO:0097193,GO:0070782,GO:0033003,GO:1902231,GO:0045089,GO:0045071,GO:0010628,GO:0030099,GO:0006915,GO:0010288,GO:2000373,GO:0006659,GO:1905820,GO:0006953,GO:0005634,GO:0005829,GO:0005730,GO:0045121,GO:0048471,GO:0005887,GO:0005737,GO:0005794,GO:0005886,GO:0062023,GO:0001228,GO:0003677,GO:0008270,GO:0017124,GO:0005154,GO:0005509,GO:0001618,GO:0017128,GO:0000287,GO:0004518,GO:0019899,GO:0045340,GO:0042609,GO:0032791
SMED3_DN10288_c0_g2	GO:0034314,GO:0030041,GO:0030833,GO:0015629,GO:0005737,GO:0005885,GO:0051015,GO:0005200
SMED3_DN1028_c0_g1	GO:0070221,GO:0005739,GO:0004792
SMED3_DN1030_c0_g1	GO:0008299,GO:0019287,GO:0006695,GO:0005737,GO:0005829,GO:0004163,GO:0005524
SMED3_DN10314_c0_g2	GO:0016310,GO:0008204,GO:2001023,GO:0015937,GO:0005634,GO:0005829,GO:0005737,GO:0004594,GO:0005524
SMED3_DN10314_c1_g1	GO:0051301,GO:0044774,GO:0090268,GO:1901925,GO:0006913,GO:0007049,GO:0007094,GO:0000776,GO:0005634,GO:0044877
SMED3_DN1031_c0_g1	GO:0034314,GO:0030833,GO:0044396,GO:2000601,GO:0015629,GO:0005737,GO:0005885,GO:0030479,GO:0051015,GO:0043130
SMED3_DN10326_c0_g1	GO:2001246,GO:0006412,GO:0015914,GO:0006896,GO:0030437,GO:0048194,GO:0046488,GO:1901352,GO:0120009,GO:0031322,GO:0006696,GO:0043001,GO:0006657,GO:0005737,GO:0031210,GO:0035091
SMED3_DN10332_c0_g3	GO:1902600,GO:0034214,GO:0051560,GO:0099093,GO:0051260,GO:0005743,GO:0005739,GO:0016021,GO:0043022,GO:0015369,GO:0005509
SMED3_DN10351_c0_g2	GO:0106035,GO:0005739,GO:0051537,GO:0097573,GO:0046872
SMED3_DN10352_c0_g1	GO:0030198,GO:0031154,GO:0005576,GO:0031012,GO:0005198
SMED3_DN10354_c0_g1	GO:0007601,GO:0006458,GO:0016063,GO:0070059,GO:0006491,GO:0006517,GO:0000413,GO:0030176,GO:0005788,GO:0031410,GO:0031965,GO:0005737,GO:0016028,GO:0016018,GO:0003755
SMED3_DN10368_c0_g1	GO:0045747,GO:0005576,GO:0005112
SMED3_DN1037_c0_g1	GO:0006412,GO:1990145,GO:0001731,GO:0006417,GO:0006450,GO:0006413,GO:0016282,GO:0043614,GO:0003743,GO:0043024,GO:0003723,GO:0031369
SMED3_DN10381_c1_g1	GO:0006811,GO:0045039,GO:0030150,GO:0005741,GO:0046930,GO:0005739,GO:0005742,GO:0016021,GO:0015288,GO:0015450
SMED3_DN103831_c0_g1	GO:0044409,GO:0005576,GO:0034494,GO:0032991,GO:0031410,GO:0005886,GO:0020009,GO:0020002,GO:0043655,GO:0005515
SMED3_DN10383_c0_g2	GO:0006303,GO:0030592,GO:0070212,GO:0005634,GO:0005730,GO:0003677,GO:0003950,GO:1990404
SMED3_DN103874_c0_g1	GO:0007049,GO:0051301,GO:0000281,GO:0015629,GO:0005737,GO:0016460,GO:0005509
SMED3_DN103876_c0_g1	GO:0035556,GO:0007049,GO:0051301,GO:0000132,GO:0005938,GO:0005515
SMED3_DN103892_c0_g1	GO:0048731,GO:0006952,GO:0006357,GO:0042127,GO:0007259,GO:0005634,GO:0005737,GO:0000978,GO:0000981
SMED3_DN10390_c0_g1	GO:0050830,GO:0018108,GO:0000165,GO:0048477,GO:0030154,GO:0051321,GO:0007265,GO:0040025,GO:0005634,GO:0005829,GO:0032153,GO:0005737,GO:0051286,GO:0004674,GO:0004708,GO:0097110,GO:0005524,GO:0004713,GO:0106310
SMED3_DN103950_c0_g1	GO:0051693,GO:0051014,GO:0030043,GO:0015629,GO:0005737,GO:0045335,GO:0051015,GO:0048306
SMED3_DN104016_c0_g1	GO:0046835,GO:0006012,GO:0005737,GO:0004335,GO:0005524
SMED3_DN104019_c0_g1	GO:0019243,GO:1990748,GO:0005634,GO:0005829,GO:0005737,GO:0004416,GO:0046872
SMED3_DN104024_c0_g1	GO:0006552,GO:1902190,GO:1902192,GO:0005739,GO:0102035,GO:0003853,GO:0008470,GO:0047119,GO:0050660
SMED3_DN104058_c0_g1	GO:0006614,GO:0005737,GO:0005783,GO:0005786,GO:0008312
SMED3_DN104072_c0_g1	GO:0006900,GO:0006886,GO:0007084,GO:0032511,GO:0005737,GO:0005771,GO:0000815,GO:0005515
SMED3_DN104080_c0_g1	GO:0006412,GO:0005840,GO:0003735
SMED3_DN104081_c0_g1	GO:0061462,GO:0050821,GO:0016021,GO:0005764,GO:0005765,GO:0005515
SMED3_DN104122_c0_g1	GO:1902882,GO:0033108,GO:0000266,GO:0051900,GO:0030261,GO:0006308,GO:0012501,GO:0045041,GO:0033615,GO:0005634,GO:0005739,GO:0005737,GO:0140220,GO:0045335,GO:0005758,GO:0003677,GO:0003954,GO:0046983,GO:0071949,GO:0016174
SMED3_DN104130_c0_g1	GO:0042274,GO:0042254,GO:0000462,GO:0000470,GO:0032040,GO:0005634,GO:0005730,GO:0030686,GO:0003723
