HOG00046086_65	SMED4_DN334_c0_g1_i3.p1
HOG00067862_73	SMED4_DN90983_c0_g1_i1.p1
HOG00056726_69	SMED4_DN637_c0_g1_i4.p1, SMED4_DN16_c0_g2_i1.p1, SMED4_DN14307_c0_g1_i14.p1
HOG00067825_73	SMED4_DN75996_c0_g1_i1.p1, SMED4_DN54200_c0_g1_i3.p1
HOG00037040_64	SMED4_DN1315_c0_g1_i1.p1
HOG00064280_72	SMED4_DN2683_c0_g1_i19.p1, SMED4_DN16423_c0_g1_i2.p1
HOG00068342_73	SMED4_DN41644_c0_g1_i4.p1, SMED4_DN9760_c0_g2_i6.p1, SMED4_DN948_c0_g1_i10.p1
HOG00060127_70	SMED4_DN169_c0_g4_i1.p1, SMED4_DN10179_c0_g1_i2.p1, SMED4_DN3866_c0_g1_i1.p1, SMED4_DN34099_c0_g1_i4.p1, SMED4_DN24600_c2_g2_i1.p1, SMED4_DN24600_c2_g1_i2.p1, SMED4_DN2874_c0_g1_i1.p1, SMED4_DN54226_c2_g1_i1.p1
HOG00067920_73	SMED4_DN18318_c0_g2_i3.p1, SMED4_DN35447_c0_g1_i1.p2, SMED4_DN5692_c0_g1_i7.p1, SMED4_DN5692_c0_g2_i1.p1, SMED4_DN2548_c1_g4_i1.p1, SMED4_DN5692_c2_g1_i1.p1
HOG00060247_70	SMED4_DN471_c3_g1_i2.p1, SMED4_DN3615_c0_g2_i1.p1
HOG00071692_73	SMED4_DN10181_c0_g1_i3.p1
HOG00062882_71	SMED4_DN933_c0_g2_i1.p1, SMED4_DN16290_c1_g1_i2.p1, SMED4_DN17874_c0_g2_i2.p1, SMED4_DN3744_c0_g1_i1.p1, SMED4_DN9715_c0_g1_i1.p1, SMED4_DN44778_c0_g1_i2.p1, SMED4_DN6955_c0_g1_i1.p1
HOG00064315_72	SMED4_DN1612_c0_g4_i1.p1, SMED4_DN1612_c0_g3_i3.p1, SMED4_DN130468_c0_g1_i1.p1, SMED4_DN38086_c0_g1_i1.p1
HOG00060058_70	SMED4_DN14913_c1_g1_i7.p1, SMED4_DN14913_c1_g6_i1.p1
HOG00034315_63	SMED4_DN35721_c0_g2_i4.p1
