HOG00061058_70	ONUN3_DN5301_c0_g1_i1.p1
HOG00067631_73	ONUN3_DN5097_c0_g4_i3.p1
HOG00067767_73	ONUN3_DN31_c0_g1_i1.p1
HOG00062939_71	ONUN3_DN497_c1_g1_i1.p1, ONUN3_DN497_c0_g1_i21.p1
HOG00053284_68	ONUN3_DN2428_c0_g1_i1.p1, ONUN3_DN2428_c0_g2_i1.p1
HOG00055557_69	ONUN3_DN43917_c0_g1_i1.p1, ONUN3_DN12349_c0_g2_i2.p1
HOG00037040_64	ONUN3_DN6923_c0_g1_i2.p1
HOG00021903_59	ONUN3_DN6808_c0_g1_i2.p1, ONUN3_DN1837_c0_g1_i1.p1, ONUN3_DN1029_c0_g1_i28.p1, ONUN3_DN1029_c0_g3_i1.p1, ONUN3_DN64_c0_g3_i1.p1, ONUN3_DN64_c1_g1_i13.p1, ONUN3_DN2061_c0_g2_i1.p1, ONUN3_DN7813_c0_g1_i1.p1, ONUN3_DN503_c0_g1_i3.p1, ONUN3_DN503_c0_g2_i1.p1, ONUN3_DN13469_c0_g2_i2.p1, ONUN3_DN5132_c3_g1_i1.p1, ONUN3_DN503_c0_g3_i1.p1, ONUN3_DN13469_c0_g1_i1.p1, ONUN3_DN64_c1_g2_i1.p1, ONUN3_DN163_c0_g3_i1.p1, ONUN3_DN1029_c0_g2_i1.p1, ONUN3_DN11344_c0_g2_i1.p1, ONUN3_DN1001_c15_g1_i1.p1, ONUN3_DN2363_c0_g3_i1.p1, ONUN3_DN88065_c0_g1_i1.p1, ONUN3_DN1106_c0_g2_i1.p1, ONUN3_DN8933_c0_g1_i1.p1
HOG00022200_59	ONUN3_DN4579_c0_g1_i1.p1
HOG00068342_73	ONUN3_DN8702_c2_g1_i5.p1, ONUN3_DN700_c1_g1_i3.p1, ONUN3_DN32175_c0_g1_i2.p1
HOG00063392_71	ONUN3_DN8874_c0_g1_i1.p1, ONUN3_DN14670_c0_g1_i5.p1, ONUN3_DN1489_c0_g1_i2.p1
HOG00058498_69	ONUN3_DN1777_c0_g1_i4.p1
HOG00060247_70	ONUN3_DN8077_c0_g4_i3.p1, ONUN3_DN27445_c0_g3_i4.p1
HOG00046017_65	ONUN3_DN2045_c0_g1_i4.p1, ONUN3_DN2045_c0_g2_i1.p1, ONUN3_DN569_c0_g1_i8.p1
HOG00074144_73	ONUN3_DN8509_c0_g1_i1.p1
HOG00060930_70	ONUN3_DN5635_c0_g1_i1.p1
HOG00050882_67	ONUN3_DN5046_c2_g1_i1.p1
HOG00053592_68	ONUN3_DN5951_c0_g1_i3.p1, ONUN3_DN12110_c1_g1_i4.p1
HOG00024463_61	ONUN3_DN1765_c0_g2_i1.p1
HOG00021934_59	ONUN3_DN1497_c0_g1_i3.p1
HOG00067990_73	ONUN3_DN4340_c0_g1_i3.p1, ONUN3_DN8019_c0_g3_i1.p1
HOG00051100_67	ONUN3_DN33550_c0_g1_i1.p1
HOG00060198_70	ONUN3_DN1439_c0_g1_i3.p1
HOG00020943_58	ONUN3_DN253_c4_g1_i15.p1, ONUN3_DN15210_c0_g2_i1.p1, ONUN3_DN253_c4_g2_i1.p1, ONUN3_DN37566_c0_g1_i4.p1
HOG00067839_73	ONUN3_DN85237_c0_g1_i2.p1, ONUN3_DN3229_c0_g2_i5.p1, ONUN3_DN3729_c0_g2_i1.p1
HOG00047071_65	ONUN3_DN330_c0_g1_i3.p1
HOG00073039_73	ONUN3_DN79_c1_g1_i28.p1
HOG00069379_73	ONUN3_DN9570_c0_g1_i7.p1
